category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
HVAC,HVAC > Install / Replace HVAC Filter,Install / Replace HVAC Filter,Labor > HVAC > Install / Replace HVAC Filter,each,40,20,45,20,10,no,2026,,"Pull old filter, verify size/airflow arrow, insert new filter at return or air handler. Filter ~$20. Fully handyman-legal, no refrigerant/electrical.",Homewyse/Angi maintenance; filter swap is a no-tool return-grille/air-handler slot change. Task-only trivial; mostly a minimum visit + filter cost. Mid-grade pleated filter ~$15-25.,high,
HVAC,HVAC > Install Mini Split,Install Mini Split,Labor > HVAC > Install Mini Split,each,800,680,1200,0,480,no,2026,HVAC install and refrigerant work needs a licensed HVAC contractor and a permit. We coordinate a licensed sub.,"REFER: mini split install involves refrigerant line set/vacuum/charge, a dedicated electrical circuit, condensate, wind-load bracket, and FL permit - licensed HVAC + electrical. Priced for reference only; material via licensed contractor.","Florida single-zone ductless install $1,800-$5,500; per-zone $2,000-$7,000 (bulletproofair, texastempmasters, City ACS 2026). Requires refrigerant, dedicated circuit, permit.",med,REFER
HVAC,HVAC > Install Window AC,Install Window AC,Labor > HVAC > Install Window AC,each,100,70,130,20,45,no,2026,,"Install window AC unit: fit to window, mount support bracket, secure sash, weatherseal side panels, plug in. Bracket/seal kit ~$20. Handyman-legal (self-contained, no refrigerant work, standard plug). REFER only if a new circuit is needed.","Handyman window AC install/support $75-$175; sealed pre-charged unit into existing window, plugs into existing outlet. Task-only ~$80-130.",med,
HVAC,HVAC > Program Thermostat,Program Thermostat,Labor > HVAC > Program Thermostat,each,40,30,50,0,25,no,2026,,"Program existing thermostat: set schedule, connect to wifi/app, configure heat/cool setpoints, test cycle. No material. Config-only, handyman-legal.","Handyman/smart-home setup $50-$100; programming/wifi pairing only, no wiring change. Task-only ~$45-75.",med,
HVAC,HVAC > Replace Swamp Cooler (Complete Unit),Replace Swamp Cooler (Complete Unit),Labor > HVAC > Replace Swamp Cooler (Complete Unit),each,500,425,750,0,300,yes,2026,HVAC install and refrigerant work needs a licensed HVAC contractor and a permit. We coordinate a licensed sub.,"REFER: full swamp-cooler swap ties into electrical, plumbing water supply, and duct/roof penetration - licensed trades + permit. Priced for reference only. Old unit haul-off. Note: evaporative coolers are uncommon/ineffective in Brevard's humidity.","Evaporative cooler replacement $700-$1,500 nat'l (labor+unit); requires roof/wall penetration, water line, electrical hookup, ductwork. Rare in humid FL. Cross-check thin.",low,REFER
HVAC,HVAC > Replace Swamp Cooler Motor,Replace Swamp Cooler Motor,Labor > HVAC > Replace Swamp Cooler Motor,each,260,220,390,90,90,no,2026,Scope may need a licensed HVAC contractor. We confirm before quoting.,"Replace evap cooler blower motor: disconnect power, remove belt/pulley, swap motor, re-tension, wire, test. Motor ~$90. VERIFY: motor swap is repair-legal, but line-voltage reconnection is a gray zone - confirm scope on site.",Evaporative cooler motor replacement $150-$300 incl part; blower motor ~$80-120. Task-only labor ~$100-150. Obscure/rare in FL.,low,VERIFY
HVAC,HVAC > Replace Swamp Cooler Pads,Replace Swamp Cooler Pads,Labor > HVAC > Replace Swamp Cooler Pads,each,120,85,180,35,45,no,2026,,"Replace evaporative cooler pads: open panels, remove old aspen/cellulose pads, clean frames, fit new pads, close. Pad set ~$35. Maintenance swap, handyman-legal.","Cooler pad replacement $75-$150; consumable maintenance, no electrical/plumbing. Task-only ~$70-110. Rare in FL.",low,
HVAC,HVAC > Replace Swamp Cooler Pump,Replace Swamp Cooler Pump,Labor > HVAC > Replace Swamp Cooler Pump,each,150,105,225,40,60,no,2026,,"Replace evap cooler water pump: drain reservoir, disconnect tubing and plug, swap submersible pump, reconnect, test flow. Pump ~$40. Component swap on plug-in pump, handyman-legal.",Cooler recirc pump replacement $90-$180 incl part; small submersible pump swap. Task-only ~$80-130. Rare in FL.,low,
HVAC,HVAC > Replace Swamp Cooler Spider,Replace Swamp Cooler Spider,Labor > HVAC > Replace Swamp Cooler Spider,each,70,50,105,15,30,no,2026,,"Replace cooler spider (water distribution tubing that spreads water over pads): remove clogged tubing, fit new spider/tubing kit, verify even flow. Kit ~$15. Maintenance swap, handyman-legal.",Evap cooler water-distribution 'spider' tubing kit $10-$25 part; quick maintenance swap. Task-only labor ~$55-90. Obscure item.,low,
HVAC,HVAC > Replace Thermostat,Replace Thermostat,Labor > HVAC > Replace Thermostat,each,125,90,145,45,40,no,2026,,"Replace thermostat: kill power, photo/label existing low-voltage wires, mount new base, transfer wires (add C-wire if present), set, test heat/cool. Mid-grade smart/programmable ~$45. Low-voltage swap, handyman-legal per FL 489 exemption.",Homewyse replace thermostat $391-$469 (incl premium unit/matl); handyman labor $40-$80/hr; smart tstat swap common. Task-only labor Melbourne ~$90-130 for a like-for-like swap.,high,
