category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Window Coverings & Accessories,Window Coverings & Accessories > Child / Safety > Install Alarms,Child / Safety - Install Alarms,Labor > Window Coverings & Accessories > Child / Safety > Install Alarms,each,35,25,45,0,20,no,2026,,"Battery/stick-on or screw-mount window alarm, customer-supplied; mount + test. Quick per-unit.",HomeAdvisor security/safety install $40-80/device labor; solo-pro window/door alarm mount ~15-25 min,med,
Window Coverings & Accessories,Window Coverings & Accessories > Child / Safety > Install Child Safety Stops,Child / Safety - Install Child Safety Stops,Labor > Window Coverings & Accessories > Child / Safety > Install Child Safety Stops,each,35,25,45,0,15,no,2026,,"Cord cleat, tensioner, breakaway tassel, or sash stop; screw-mount out of child reach. Customer-supplied.",SelectBlinds/FixMyBlinds cord cleats & window/sash stops 'install in minutes'; WCSC free retrofit kits,med,
Window Coverings & Accessories,Window Coverings & Accessories > Child / Safety > Install Security Bars,Child / Safety - Install Security Bars,Labor > Window Coverings & Accessories > Child / Safety > Install Security Bars,each,75,65,110,0,45,no,2026,This scope may require a licensed trade and a permit. We confirm before quoting and coordinate a licensed sub if needed.,"Bolt-on window bars/grille, customer-supplied. VERIFY egress/bedroom code; anchoring into masonry adds time.",Angi/HomeAdvisor window security bars ~$150/window labor; installers $50-150/hr; oversized needs 2 techs,med,VERIFY
Window Coverings & Accessories,Window Coverings & Accessories > Curtains > Install New - Ground Up,Curtains - Install New - Ground Up,Labor > Window Coverings & Accessories > Curtains > Install New - Ground Up,each,70,50,80,8,35,no,2026,,"New rod + brackets from scratch: measure, level, anchor, hang panels. Bracket/anchor hardware allowance.",Homewyse install curtain rod $164-420/rod; hang curtains $254-472; solo mount+level+brackets 30-45 min,high,
Window Coverings & Accessories,Window Coverings & Accessories > Curtains > Remove Permanently,Curtains - Remove Permanently,Labor > Window Coverings & Accessories > Curtains > Remove Permanently,each,35,25,45,0,15,no,2026,,"Take down curtains/rod/brackets, remove screws. Light debris only (no dump run).",Angi removal add-on $10-30/window; solo unscrew rod + patch-ready holes ~15 min,med,
Window Coverings & Accessories,Window Coverings & Accessories > Curtains > Replace,Curtains - Replace,Labor > Window Coverings & Accessories > Curtains > Replace,each,35,20,40,0,20,no,2026,,Rehang new curtains on existing rod/brackets. Customer-supplied panels; no new hardware.,Homewyse hang curtains $254-472 (rod exists); swap panels on existing rod is quick ~15-25 min,high,
Window Coverings & Accessories,Window Coverings & Accessories > Films & Coatings > Install Privacy Film,Films & Coatings - Install Privacy Film,Labor > Window Coverings & Accessories > Films & Coatings > Install Privacy Film,each,65,45,85,0,40,no,2026,,"Static/adhesive privacy film: clean glass, cut, apply, squeegee bubbles. Customer-supplied film.",Angi/HomeAdvisor home film labor $5-10/sqft; $45-660/window incl material; clean+cut+squeegee 30-50 min,med,
Window Coverings & Accessories,Window Coverings & Accessories > Films & Coatings > Install Tint Film,Films & Coatings - Install Tint Film,Labor > Window Coverings & Accessories > Films & Coatings > Install Tint Film,each,75,50,100,0,45,no,2026,,"Solar/tint film wet-application: clean, cut to fit, apply, squeegee. Customer-supplied film. FL heat-reduction.",FL window tint labor $5-10/sqft (WinterParkTint/ProMatcher); $45-660/window; wet-apply solar tint 40-60 min,med,
Window Coverings & Accessories,Window Coverings & Accessories > Films & Coatings > Install UV Blocking Film,Films & Coatings - Install UV Blocking Film,Labor > Window Coverings & Accessories > Films & Coatings > Install UV Blocking Film,each,75,50,100,0,45,no,2026,,"Clear UV-blocking film, same wet-application method as tint. Customer-supplied film.",Angi home film $5-10/sqft labor; UV/clear film same wet-apply process as tint ~40-60 min,med,
Window Coverings & Accessories,Window Coverings & Accessories > Films & Coatings > Remove Privacy Film,Films & Coatings - Remove Privacy Film,Labor > Window Coverings & Accessories > Films & Coatings > Remove Privacy Film,each,60,40,80,0,35,no,2026,,"Peel old film, scrape residual adhesive, solvent-clean glass. Slower than install per window.",Angi film removal messier than install; peel + adhesive scrape + solvent clean ~30-45 min/window,med,
