category,name,display_name,taxonomy_path,unit,price_expected,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,basis,sources,confidence,flags
Electrical,Electrical > Bulbs > Specialty - Replace,Bulbs - Specialty - Replace,Labor > Electrical > Bulbs > Specialty - Replace,each,60,70,10,30,no,2026,Specialty/hard-to-reach bulb swap; maintenance not electrical,anchor: Bulbs Fixture Replace $38 + reach premium,high,
Electrical,Electrical > Distribution > Install / Replace Weatherproof Gang Box,Distribution - Install / Replace Weatherproof Gang Box,Labor > Electrical > Distribution > Install / Replace Weatherproof Gang Box,each,125,190,20,60,no,2026,Box install; new wiring would make it licensed. Priced at book anchor,anchor: Outdoor Weatherproof Boxes Install $120,med,VERIFY
Electrical,Electrical > Distribution > Install Ceiling Fan Rated Box,Distribution - Install Ceiling Fan Rated Box,Labor > Electrical > Distribution > Install Ceiling Fan Rated Box,each,125,190,20,60,no,2026,Fan-rated box install; new wiring would make it licensed. Book anchor,anchor: Ceiling Fan Rated Remodel Gang Boxes $120,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install AFCI Breaker,Distribution - Replace / Install AFCI Breaker,Labor > Electrical > Distribution > Replace / Install AFCI Breaker,each,160,240,50,60,no,2026,Panel-interior AFCI breaker; licensed electrician + Brevard permit,research: empireelec AFCI $111-219 + AFCI part $35-65,med,REFER
Electrical,Electrical > Distribution > Replace / Install Double Pole Breaker,Distribution - Replace / Install Double Pole Breaker,Labor > Electrical > Distribution > Replace / Install Double Pole Breaker,each,145,220,35,60,no,2026,240V panel-interior breaker; licensed electrician + permit,research: installed $200-400; anchor Circuit Breakers Replace $125,med,REFER
Electrical,Electrical > Distribution > Replace / Install GFCI Breaker,Distribution - Replace / Install GFCI Breaker,Labor > Electrical > Distribution > Replace / Install GFCI Breaker,each,160,240,50,60,no,2026,Panel-interior GFCI breaker; licensed electrician + permit,research: Homewyse GFCI breaker $307-373 all-in,med,REFER
Electrical,Electrical > Distribution > Replace / Install Gang Box,Distribution - Replace / Install Gang Box,Labor > Electrical > Distribution > Replace / Install Gang Box,each,95,140,15,45,no,2026,Gang box install; gray if new wiring. Book anchor,anchor: Gang Boxes Remodel Type $90,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install Junction Box,Distribution - Replace / Install Junction Box,Labor > Electrical > Distribution > Replace / Install Junction Box,each,90,135,10,45,no,2026,"Junction box; splice-cover on existing = gray, new = licensed",anchor: General Lighting Gang Boxes $90,med,VERIFY
Electrical,Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,Distribution - Replace / Install Single Pole Circuit Breaker,Labor > Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,each,125,190,25,60,no,2026,"Snapped to book anchor (Circuit Breakers, Replace $125) for consistency",anchor: Circuit Breakers Replace $125,high,REFER
Electrical,Electrical > Distribution > Replace Fuse,Distribution - Replace Fuse,Labor > Electrical > Distribution > Replace Fuse,each,60,90,10,30,no,2026,Fuse-box interior; opening panel is licensed work,anchor: Fuses Replace $60,med,REFER
