category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Landscaping,Landscaping > Install Holiday Lights,Install Holiday Lights,Labor > Landscaping > Install Holiday Lights,each,220,185,255,20,120,no,2026,,Direct anchor match - install side of Manny's holiday light task,Anchor: Christmas Lights Installation/Removal $220/120min; Angi holiday light install $200-$600,high,
Landscaping,Landscaping > Install Mailbox - Ground Up,Install Mailbox - Ground Up,Labor > Landscaping > Install Mailbox - Ground Up,each,130,90,150,30,60,no,2026,,Direct anchor match - full mailbox+post set,Anchor: Install Mailboxes $130/60min/$30 mat,high,
Landscaping,Landscaping > Install Misters,Install Misters,Labor > Landscaping > Install Misters,each,250,210,290,50,120,no,2026,,Exact anchor match by name,Anchor: Install Misters $250/120min/$50 mat,high,
Landscaping,Landscaping > Junk Removal,Junk Removal,Labor > Landscaping > Junk Removal,each,200,170,230,0,90,yes,2026,,"Anchor match - debris/junk removal, generates dump run",Anchor: Junk Hauling $200/90min,high,
Landscaping,Landscaping > Lawn Mowing / Edging / Trimming,Lawn Mowing / Edging / Trimming,Labor > Landscaping > Lawn Mowing / Edging / Trimming,each,100,70,130,0,60,no,2026,,"No direct anchor; standard residential cut+edge+trim, solo pro ~1hr",Homeyou/ProMatcher FL lawn mow avg $40-$65/visit; clippings curbside not a dump run,med,
Landscaping,Landscaping > Pool Maintenance,Pool Maintenance,Labor > Landscaping > Pool Maintenance,each,180,155,205,30,90,no,2026,,Anchor match - general pool service/maintenance visit,"Anchor: Pools, General Skills $180/90min/$30 mat",high,
Landscaping,Landscaping > Pour Cement Slab,Pour Cement Slab,Labor > Landscaping > Pour Cement Slab,each,600,510,690,0,360,no,2026,,Exact anchor match - small slab pour,Anchor: Pour Cement Slabs $600/360min,high,
Landscaping,Landscaping > Pressure Wash Driveway,Pressure Wash Driveway,Labor > Landscaping > Pressure Wash Driveway,each,165,140,190,15,90,no,2026,,Anchor match; unit sq ft but Manny prices pressure wash flat; engine handles repeat-unit,Anchor: Pressure Washing $165/90min/$15; Homewyse driveway $0.42-$0.52/sf,high,
Landscaping,Landscaping > Pressure Wash Garage,Pressure Wash Garage,Labor > Landscaping > Pressure Wash Garage,each,165,140,190,15,90,no,2026,,"Anchor match - same pressure wash task, garage floor",Anchor: Pressure Washing $165/90min/$15; Homewyse $0.42-$0.52/sf,high,
Landscaping,Landscaping > Pressure Wash Porch,Pressure Wash Porch,Labor > Landscaping > Pressure Wash Porch,each,165,140,190,15,90,no,2026,,"Anchor match - same pressure wash task, porch/patio",Anchor: Pressure Washing $165/90min/$15; Homewyse $0.42-$0.52/sf,high,
Landscaping,Landscaping > Pressure Wash Sidewalk,Pressure Wash Sidewalk,Labor > Landscaping > Pressure Wash Sidewalk,each,150,105,170,15,75,no,2026,,Anchor-based; sidewalk smaller area than driveway so trimmed slightly,"Anchor: Pressure Washing $165/90min/$15; Homewyse concrete $0.25-$0.40/sf, smaller run",high,
Landscaping,Landscaping > Remount Mailbox Post To Ground,Remount Mailbox Post To Ground,Labor > Landscaping > Remount Mailbox Post To Ground,each,90,65,115,15,45,no,2026,,"Partial of mailbox anchor - reseat post in ground, no new box, less time",Anchor context: Install Mailboxes $130/60min full set; reset existing post only,med,
Landscaping,Landscaping > Remount Mailbox To Post,Remount Mailbox To Post,Labor > Landscaping > Remount Mailbox To Post,each,65,45,85,10,30,no,2026,,"Sub-task of mailbox anchor - box-to-post only, minimal time/hardware",Anchor context: Install Mailboxes $130/60min; remount box to existing post quick fasten,med,
Landscaping,Landscaping > Remove Holiday Lights,Remove Holiday Lights,Labor > Landscaping > Remove Holiday Lights,each,110,75,125,0,60,no,2026,,"Removal-only half of holiday light anchor - ~half labor, no materials",Anchor: Christmas Lights Installation/Removal $220/120min (install+removal combined),high,
Landscaping,Landscaping > Remove Tree,Remove Tree,Labor > Landscaping > Remove Tree,each,300,255,345,0,180,yes,2026,,"Anchor match - small/medium tree removal, debris dump run",Anchor: Tree Removal/Trimming $300/180min; Homeyou Melbourne avg $460-$627/tree,high,
Landscaping,Landscaping > Replace Mailbox - Box Only,Replace Mailbox - Box Only,Labor > Landscaping > Replace Mailbox - Box Only,each,75,50,100,30,30,no,2026,,"Sub-task of mailbox anchor - new box on existing post, full box material half labor",Anchor context: Install Mailboxes $130/60min/$30; box swap on existing post,med,
Landscaping,Landscaping > Solar Maintenance,Solar Maintenance,Labor > Landscaping > Solar Maintenance,each,180,155,205,30,90,no,2026,,"Anchor match - general solar service/cleaning, no panel/electrical work","Anchor: Solar, General Skills $180/90min/$30",high,
Landscaping,Landscaping > Trim Tree,Trim Tree,Labor > Landscaping > Trim Tree,each,250,210,290,0,120,yes,2026,,"Trim side of tree anchor - less time, still generates cuttings for haul-off",Anchor: Tree Removal/Trimming $300/180min; trim lighter than full removal,high,
Landscaping,Landscaping > Weed Removal,Weed Removal,Labor > Landscaping > Weed Removal,each,120,85,155,15,60,no,2026,,"Lighter case of general landscaping anchor - hand/spray weeding, curbside","Anchor context: Landscaping, General Skills $180/90min; weeding is lighter visit",med,
Landscaping,Landscaping > Welding - General,Welding - General,Labor > Landscaping > Welding - General,each,190,160,220,40,90,no,2026,,Exact anchor match - general welding/repair task,"Anchor: Welding, General Skills $190/90min/$40; Angi/HomeGuide mobile weld min $100-$200",high,
