category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Windows,Windows > Build New Window Screen,Build New Window Screen,Labor > Windows > Build New Window Screen,each,100,70,130,20,45,no,2026,,"No exact anchor; fabricate a new screen frame+mesh, quick shop-build task",Anchor context: Window Blinds Vertical $95/45min analog; Orlando screen $35 small / $75-$125 large incl mat,med,
Windows,Windows > Install New - Ground Up,Install New - Ground Up,Labor > Windows > Install New - Ground Up,each,450,380,675,0,240,no,2026,"Full-window and impact replacement often needs a permit and licensed installer under Florida code. We confirm and sub if required; glass, screen, and hardware we handle.",Anchor match on labor/price; VERIFY - new-opening/impact window in FL commonly triggers permit + licensed install,"Anchor: Window, Replace $450/240min; Homeblue Melbourne $400-$500 vinyl installed; FL code often needs permit/licensed installer",med,VERIFY
Windows,Windows > Repair / Rescreen Window Screen,Repair / Rescreen Window Screen,Labor > Windows > Repair / Rescreen Window Screen,each,70,50,90,15,30,no,2026,,"No exact anchor; re-mesh existing screen frame, quick handyman task",Melbourne Screen Repairs / Lafferty 1-2hr per panel; Orlando rescreen $35+ incl mat,med,
Windows,Windows > Replace Balance / Rope / Weight,Replace Balance / Rope / Weight,Labor > Windows > Replace Balance / Rope / Weight,each,125,90,145,25,60,no,2026,,Anchor match - sash balance/rope/weight swap,"Anchor: Window, Springs & Balances, Replace $125/60min/$25",high,
Windows,Windows > Replace Balance Springs,Replace Balance Springs,Labor > Windows > Replace Balance Springs,each,125,90,145,25,60,no,2026,,Anchor match - balance spring replacement,"Anchor: Window, Springs & Balances, Replace $125/60min/$25",high,
Windows,Windows > Replace Full Frame,Replace Full Frame,Labor > Windows > Replace Full Frame,each,450,380,675,0,240,yes,2026,"Full-window and impact replacement often needs a permit and licensed installer under Florida code. We confirm and sub if required; glass, screen, and hardware we handle.",Anchor match; VERIFY - full-frame replacement in FL often needs permit/licensed installer; old frame is haul-off,"Anchor: Window, Replace $450/240min; Homeblue Melbourne $400-$500 vinyl / $600-$800 wood installed",med,VERIFY
Windows,Windows > Replace Glass (Reglaze) - Dual Pane,Replace Glass (Reglaze) - Dual Pane,Labor > Windows > Replace Glass (Reglaze) - Dual Pane,each,190,160,220,40,90,no,2026,,Anchor match - dual-pane IGU reglaze,"Anchor: Window Glass, Dual Pane, Replace $190/90min/$40",high,
Windows,Windows > Replace Glass (Reglaze) - Single Pane,Replace Glass (Reglaze) - Single Pane,Labor > Windows > Replace Glass (Reglaze) - Single Pane,each,125,90,145,25,60,no,2026,,Anchor match - single-pane reglaze,"Anchor: Window Glass, Single Pane, Replace $125/60min/$25",high,
Windows,"Windows > Replace Glass (Reglaze), Triple Pane","Replace Glass (Reglaze), Triple Pane","Labor > Windows > Replace Glass (Reglaze), Triple Pane",each,230,195,300,55,105,no,2026,,No triple anchor; step up from dual-pane reglaze for heavier/costlier IGU,Anchors: Dual Pane $190/90min/$40 and Single $125/60min/$25; triple interpolated above dual,med,
Windows,Windows > Replace Locking Mechanism,Replace Locking Mechanism,Labor > Windows > Replace Locking Mechanism,each,65,35,75,15,30,no,2026,,Anchor match - window lock/latch swap,"Anchor: Window, Locks, Replace/Repair $65/30min/$15",high,
Windows,Windows > Replace Weather Stripping / Caulking,Replace Weather Stripping / Caulking,Labor > Windows > Replace Weather Stripping / Caulking,each,60,40,80,10,30,no,2026,,"No exact anchor; strip old weatherstrip/caulk and reapply; unit LF, engine per-foot","Anchor context: Window, Clear Weep Holes $41.67/25min quick task; caulk/weatherstrip is comparable",med,
Windows,Windows > Retrofit - New Sash,Retrofit - New Sash,Labor > Windows > Retrofit - New Sash,each,200,170,260,40,90,no,2026,,"No exact anchor; drop-in replacement sash into existing frame, moderate glazier task","Anchor context: Window, Casement Crank $100/45min and Springs/Balances $125/60min; sash kit heavier",med,
Windows,Windows > Seal Window Exterior For Leaks,Seal Window Exterior For Leaks,Labor > Windows > Seal Window Exterior For Leaks,each,70,50,90,15,30,no,2026,,"No exact anchor; clean and caulk exterior window perimeter to stop leaks, quick task","Anchor context: Window, Clear Weep Holes $41.67/25min; exterior perimeter caulk is comparable",med,
