category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Appliances,Appliances > Dishwasher > Install Drain Line Service Loop / Backflow Prevention,Dishwasher - Install Drain Line Service Loop / Backflow Prevention,Labor > Appliances > Dishwasher > Install Drain Line Service Loop / Backflow Prevention,each,70,50,90,15,30,no,2026,,Attach high-loop/air-gap drain routing behind DW; quick handyman task. Below full-install labor.,Homewyse install dishwasher labor-only replace $200-500; local Melbourne DW setup $100-300 (homewyse.com/services/cost_to_install_dishwasher.html),med,
Appliances,Appliances > Dishwasher > Install New - Ground Up,Dishwasher - Install New - Ground Up,Labor > Appliances > Dishwasher > Install New - Ground Up,each,195,165,290,35,90,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"First-time DW install: cut cabinet, run drain to disposal/tailpiece, supply + drain hookup. Hardwire path -> licensed electrical. Water/drain tie beyond simple swap.","Homewyse install dishwasher labor $200-500 replace, higher new; HomeGuide dishwasher install $600-1700 incl unit (homeguide.com/costs/dishwasher-installation-cost)",med,VERIFY
Appliances,Appliances > Dishwasher > Mount / Secure Dishwasher,Dishwasher - Mount / Secure Dishwasher,Labor > Appliances > Dishwasher > Mount / Secure Dishwasher,each,60,40,80,10,30,no,2026,,Screw/secure existing DW to counter or side brackets; anti-tip. Quick task.,Homewyse DW labor-only replace $200-500 (partial task <full); local Melbourne setup $100-300,med,
Appliances,Appliances > Dishwasher > Repair Leak,Dishwasher - Repair Leak,Labor > Appliances > Dishwasher > Repair Leak,each,125,105,190,20,60,no,2026,,Diagnose + reseal door gasket/hose clamp/inlet fitting. Mirrors fridge repair anchor tier.,"Angi dishwasher repair $175-325, avg $225; Beach2Bay FL DW repair $160-300 (angi.com/articles/how-much-do-dishwasher-repairs-cost.htm)",med,
Appliances,Appliances > Dishwasher > Replace Baskets,Dishwasher - Replace Baskets,Labor > Appliances > Dishwasher > Replace Baskets,each,45,25,50,30,20,no,2026,,Drop-in rack/basket swap; trivial. Matches filter/turntable swap anchor tier ($43).,Anchor: Range Hood/Microwave Replace Filters $43.33; part cost $20-40 DW rack,high,
Appliances,Appliances > Dishwasher > Replace Control Board,Dishwasher - Replace Control Board,Labor > Appliances > Dishwasher > Replace Control Board,each,155,110,200,45,60,no,2026,,"Pull DW, access + swap control/PCB, reconnect. Part is customer-variable; mid-grade allowance.",HomeGuide/Angi DW control board $200-600; FL appliance labor $75-125/hr (homeguide.com/costs/dishwasher-repair-cost),med,
Appliances,Appliances > Dishwasher > Replace Dishwasher,Dishwasher - Replace Dishwasher,Labor > Appliances > Dishwasher > Replace Dishwasher,each,150,105,170,20,60,yes,2026,,"Pull old DW, disconnect supply/drain/power, set + reconnect new (existing hookups). Removes old unit -> haul. Same swap tier as fridge replace.",Homewyse DW labor-only replace $200-500; local Melbourne setup $100-300; anchor Refrigerator Replace $110/60min,high,
Appliances,Appliances > Dishwasher > Replace Drain Line,Dishwasher - Replace Drain Line,Labor > Appliances > Dishwasher > Replace Drain Line,each,65,35,75,15,30,no,2026,,Swap corrugated drain hose end-to-end. Mirrors washer drain-hose anchor.,Anchor: Washing Machine Replace Drain Hose $65/30min; matching scope,high,
Appliances,Appliances > Dishwasher > Replace Power Cord,Dishwasher - Replace Power Cord,Labor > Appliances > Dishwasher > Replace Power Cord,each,90,65,105,15,45,no,2026,,"Swap plug-in power cord/pigtail at terminal block (cord kit, not hardwire). Mirrors range cord anchor.",Anchor: Range/Oven Replace Electrical Cord $90/45min; same task tier,high,
Appliances,Appliances > Dishwasher > Replace Pump Motor,Dishwasher - Replace Pump Motor,Labor > Appliances > Dishwasher > Replace Pump Motor,each,195,135,255,55,75,no,2026,,"Pull + tip DW, remove sump, swap circulation/drain pump motor, reseal. Mirrors appliance repair anchor tier.","HomeGuide DW pump $100-400, motor $350-500; FL repair labor $75-125/hr (homeguide.com/costs/dishwasher-repair-cost)",med,
Appliances,Appliances > Dishwasher > Replace Water Level Sensor,Dishwasher - Replace Water Level Sensor,Labor > Appliances > Dishwasher > Replace Water Level Sensor,each,110,75,145,30,45,no,2026,,"Access float/pressure switch, swap sensor, test. Same tier as washer level sensor.",Angi DW repair $175-325; FL appliance labor $75-125/hr; part $20-40,med,
Appliances,Appliances > Dryer > Haul Off Old Dryer,Dryer - Haul Off Old Dryer,Labor > Appliances > Dryer > Haul Off Old Dryer,each,50,30,55,0,30,yes,2026,,"Disconnect + wheel out + load old dryer for dump run. Labor only, disposal line added by engine.",Angi appliance haul-away $50-100; local dump-run norm; anchor Dryer Install/Remove $85,high,
