category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Doors,Doors > Exterior > French > Adjustment Only,Exterior - French - Adjustment Only,Labor > Doors > Exterior > French > Adjustment Only,each,55,30,65,0,30,no,2026,,"Adjust/align French pair to latch smoothly, no parts","Anchor: Interior,Standard,Adjust Door/Strike $50/30min; French pair adds a few min",high,
Doors,Doors > Exterior > French > Install Accessory Locks,Exterior - French - Install Accessory Locks,Labor > Doors > Exterior > French > Install Accessory Locks,each,100,70,130,25,40,no,2026,,Add flush bolts / accessory locks on inactive French leaf,Homewyse install door lock $247-$511; rekey $100-$233; deadbolt $70-$300; anchor knob $55/30min,med,
Doors,Doors > Exterior > French > Install Alarm,Exterior - French - Install Alarm,Labor > Doors > Exterior > French > Install Alarm,each,70,50,90,15,30,no,2026,,"Stick-on/battery door alarm sensor, no electrical","Wireless door contact alarm; battery/adhesive, no wiring; $20-40 part + quick mount",med,
Doors,Doors > Exterior > French > Install New - Ground Up,Exterior - French - Install New - Ground Up,Labor > Doors > Exterior > French > Install New - Ground Up,each,975,830,1460,300,360,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.","New rough opening French door - cutting/framing header is structural, verify scope",Homewyse French door install $1712-$2617; prehung ext French labor $78-$302,med,VERIFY
Doors,Doors > Exterior > French > Install New - Replacement - Pre-Hung,Exterior - French - Install New - Replacement - Pre-Hung,Labor > Doors > Exterior > French > Install New - Replacement - Pre-Hung,each,475,405,620,60,240,yes,2026,,Swap existing prehung French unit into existing opening; old unit haul,Homewyse French door install $1712-$2617; prehung ext French labor $78-$302,med,
Doors,Doors > Exterior > French > Install New - Replacment - Slab Only (Each),Exterior - French - Install New - Replacment - Slab Only (Each),Labor > Doors > Exterior > French > Install New - Replacment - Slab Only (Each),each,350,300,455,30,120,yes,2026,,"Rehang one French leaf on existing frame, mortise hinges","Anchor: Interior,Standard,Replace Door Only $250/150min analog; ext French slab heavier w/ hinges+bore",med,
Doors,Doors > Exterior > French > Replace Bottom Seal (Each),Exterior - French - Replace Bottom Seal (Each),Labor > Doors > Exterior > French > Replace Bottom Seal (Each),each,70,50,90,15,30,no,2026,,Swap door bottom seal/gasket on one leaf,Homewyse weatherstrip $117-$307/door; threshold strip $283-$366; anchor-adjacent seal work,med,
Doors,Doors > Exterior > French > Replace Deadbolt,Exterior - French - Replace Deadbolt,Labor > Doors > Exterior > French > Replace Deadbolt,each,55,30,65,5,30,no,2026,,"Deadbolt swap, existing bore",Homewyse install door lock $247-$511; rekey $100-$233; deadbolt $70-$300; anchor knob $55/30min; anchor knob $55/30min,high,
Doors,Doors > Exterior > French > Replace Doorknob / Lever / Handle,Exterior - French - Replace Doorknob / Lever / Handle,Labor > Doors > Exterior > French > Replace Doorknob / Lever / Handle,each,55,30,65,5,30,no,2026,,"Handle/lever swap, existing bore","Anchor: Exterior,Standard Entry,Replace Doorknob $55/30min",high,
Doors,Doors > Exterior > French > Replace Slider Bolt Latch,Exterior - French - Replace Slider Bolt Latch,Labor > Doors > Exterior > French > Replace Slider Bolt Latch,each,65,45,85,12,30,no,2026,,Swap surface slide/flush bolt latch on inactive leaf,Homewyse install door lock $247-$511; rekey $100-$233; deadbolt $70-$300; anchor knob $55/30min,med,
Doors,Doors > Exterior > French > Replace Sweep (Each),Exterior - French - Replace Sweep (Each),Labor > Doors > Exterior > French > Replace Sweep (Each),each,55,40,70,12,25,no,2026,,"Screw-on door sweep swap, one leaf",Homewyse weatherstrip $117-$307/door; threshold strip $283-$366; anchor-adjacent seal work,med,
Doors,Doors > Exterior > French > Replace Threshold,Exterior - French - Replace Threshold,Labor > Doors > Exterior > French > Replace Threshold,each,140,100,180,30,60,yes,2026,,"Pull & reset door threshold/sill, per LF (~3ft door)",Homewyse threshold strip $283-$366; solo-pro remove/reset aluminum sill threshold,med,
Doors,Doors > Exterior > French > Replace Weather Stripping,Exterior - French - Replace Weather Stripping,Labor > Doors > Exterior > French > Replace Weather Stripping,each,100,70,130,20,45,no,2026,,"Replace jamb/kerf weatherstrip around French opening, per LF",Homewyse weatherstrip $117-$307/door; threshold strip $283-$366; anchor-adjacent seal work,med,
Doors,Doors > Exterior > Garage > Adjust / Align Safety Sensors,Exterior - Garage - Adjust / Align Safety Sensors,Labor > Doors > Exterior > Garage > Adjust / Align Safety Sensors,each,50,35,65,0,30,no,2026,,"Re-align/tighten garage photo-eye sensors, no new wiring","Realign photo-eye safety sensors; low-voltage, no line power - handyman OK",med,
Doors,Doors > Exterior > Garage > Clean And Lube Tracks,Exterior - Garage - Clean And Lube Tracks,Labor > Doors > Exterior > Garage > Clean And Lube Tracks,each,60,35,70,10,30,no,2026,,"Clean rollers/tracks, lube hinges & springs",Anchor analog: Shower Bypass Adjust $50/30min; standard garage tune/lube,high,
Doors,Doors > Exterior > Garage > Install New - Ground Up,Exterior - Garage - Install New - Ground Up,Labor > Doors > Exterior > Garage > Install New - Ground Up,each,750,640,1125,200,300,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.","Full garage door + track install; spring tensioning is injury-risk, verify/sub spring side",Homewyse replace garage door $1056-$1705; panel $440-$725; spring $150-$350; roller ~$75 S.FL,med,VERIFY
Doors,Doors > Exterior > Garage > Paint Door,Exterior - Garage - Paint Door,Labor > Doors > Exterior > Garage > Paint Door,each,225,150,295,30,120,no,2026,,"Scuff/prime/paint garage door face, per sqft (per door)",Homewyse exterior paint ~$1-2/sqft labor; 16ft door ~112sqft; prep+roll,med,
Doors,Doors > Exterior > Garage > Replace All Panels,Exterior - Garage - Replace All Panels,Labor > Doors > Exterior > Garage > Replace All Panels,each,1025,870,1540,500,240,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.",Replace all door sections; if spring re-tension needed it's injury-risk - verify,Homewyse replace garage door $1056-$1705; panel $440-$725; spring $150-$350; roller ~$75 S.FL,med,VERIFY
Doors,Doors > Exterior > Garage > Replace Locking / Latching Mechanism,Exterior - Garage - Replace Locking / Latching Mechanism,Labor > Doors > Exterior > Garage > Replace Locking / Latching Mechanism,each,110,75,145,30,45,no,2026,,Swap garage door T-handle lock / side latch bar,Homewyse install door lock $247-$511; rekey $100-$233; deadbolt $70-$300; anchor knob $55/30min,med,
Doors,Doors > Exterior > Garage > Replace Motor,Exterior - Garage - Replace Motor,Labor > Doors > Exterior > Garage > Replace Motor,each,510,435,765,250,120,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.",Swap garage opener head unit on existing rail/outlet; hardwired units are electrical,"Homewyse/Angi opener swap; plug-in outlet OK, but if hardwire needed it's electrical - verify",med,VERIFY
Doors,Doors > Exterior > Garage > Replace Panel (Single),Exterior - Garage - Replace Panel (Single),Labor > Doors > Exterior > Garage > Replace Panel (Single),each,340,290,440,150,90,yes,2026,,Replace one garage door section/panel,Homewyse replace garage door $1056-$1705; panel $440-$725; spring $150-$350; roller ~$75 S.FL,med,
Doors,Doors > Exterior > Garage > Replace Track,Exterior - Garage - Replace Track,Labor > Doors > Exterior > Garage > Replace Track,each,250,210,325,80,90,yes,2026,,Replace bent vertical/horizontal track section,Homewyse replace garage door $1056-$1705; panel $440-$725; spring $150-$350; roller ~$75 S.FL,med,
Doors,Doors > Exterior > Garage > Replace Weather Stripping / Exterior Trim,Exterior - Garage - Replace Weather Stripping / Exterior Trim,Labor > Doors > Exterior > Garage > Replace Weather Stripping / Exterior Trim,each,150,105,195,40,60,no,2026,,"Replace garage bottom seal / perimeter stop trim, per LF",Homewyse weatherstrip $117-$307/door; threshold strip $283-$366; anchor-adjacent seal work; garage bottom seal + jamb stop trim per LF,med,
Doors,Doors > Exterior > Hinged Screen > Adjustment Only,Exterior - Hinged Screen - Adjustment Only,Labor > Doors > Exterior > Hinged Screen > Adjustment Only,each,50,35,65,0,30,no,2026,,Adjust hinged screen/patio door to close & latch,Homewyse door closer $47-$102; storm/screen hardware $20-$150; FL install labor $150-$300,med,
Doors,Doors > Exterior > Hinged Screen > Install / Replace Pneumatic Door Closer,Exterior - Hinged Screen - Install / Replace Pneumatic Door Closer,Labor > Doors > Exterior > Hinged Screen > Install / Replace Pneumatic Door Closer,each,70,40,80,15,30,no,2026,,Swap pneumatic screen-door closer + bracket,Homewyse door closer $47-$102; quick bracket+cylinder swap,high,
Doors,Doors > Exterior > Hinged Screen > Install / Replace Spring / Chain Assembly,Exterior - Hinged Screen - Install / Replace Spring / Chain Assembly,Labor > Doors > Exterior > Hinged Screen > Install / Replace Spring / Chain Assembly,each,65,45,85,12,30,no,2026,,Swap screen-door spring/chain safety assembly,Homewyse door closer $47-$102; storm/screen hardware $20-$150; FL install labor $150-$300,med,
Doors,Doors > Exterior > Hinged Screen > Install New - Ground Up,Exterior - Hinged Screen - Install New - Ground Up,Labor > Doors > Exterior > Hinged Screen > Install New - Ground Up,each,390,330,505,150,120,yes,2026,,New hinged screen door hung in opening w/ hardware,Homewyse door closer $47-$102; storm/screen hardware $20-$150; FL install labor $150-$300; hinged patio screen door + hardware,med,
Doors,Doors > Exterior > Hinged Screen > Install New - Replacement,Exterior - Hinged Screen - Install New - Replacement,Labor > Doors > Exterior > Hinged Screen > Install New - Replacement,each,300,255,390,120,90,yes,2026,,Swap hinged screen door into existing opening,Homewyse door closer $47-$102; storm/screen hardware $20-$150; FL install labor $150-$300,med,
Doors,Doors > Exterior > Hinged Screen > Replace Handle,Exterior - Hinged Screen - Replace Handle,Labor > Doors > Exterior > Hinged Screen > Replace Handle,each,60,40,80,15,25,no,2026,,Swap screen/storm door handle set,Homewyse door closer $47-$102; storm/screen hardware $20-$150; FL install labor $150-$300,med,
Doors,Doors > Exterior > Security > Adjustment Only,Exterior - Security - Adjustment Only,Labor > Doors > Exterior > Security > Adjustment Only,each,55,40,70,0,30,no,2026,,Adjust security screen/metal door to latch & lock,"Anchor: Interior,Standard,Adjust $50/30min analog; security/metal door heavier",med,
Doors,Doors > Exterior > Security > Install New - Ground Up,Exterior - Security - Install New - Ground Up,Labor > Doors > Exterior > Security > Install New - Ground Up,each,560,475,840,250,150,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.",Install security metal/screen door in opening w/ frame,Security/storm security door install; if masonry anchoring/frame mods needed verify,med,VERIFY
Doors,Doors > Exterior > Security > Install New - Replacement,Exterior - Security - Install New - Replacement,Labor > Doors > Exterior > Security > Install New - Replacement,each,450,380,585,200,120,yes,2026,,Swap security door into existing frame,Security door swap into existing frame,med,
Doors,Doors > Exterior > Security > Replace Deadbolt,Exterior - Security - Replace Deadbolt,Labor > Doors > Exterior > Security > Replace Deadbolt,each,55,30,65,5,30,no,2026,,"Deadbolt swap, existing bore","Anchor: Exterior,Standard Entry,Replace Doorknob $55/30min",high,
Doors,Doors > Exterior > Security > Replace Doorknob / Lever / Handle,Exterior - Security - Replace Doorknob / Lever / Handle,Labor > Doors > Exterior > Security > Replace Doorknob / Lever / Handle,each,55,30,65,5,30,no,2026,,"Handle/lever swap, existing bore","Anchor: Exterior,Standard Entry,Replace Doorknob $55/30min",high,
Doors,Doors > Exterior > Sliding Glass > Clean And Lubricate Track,Exterior - Sliding Glass - Clean And Lubricate Track,Labor > Doors > Exterior > Sliding Glass > Clean And Lubricate Track,each,60,35,70,10,30,no,2026,,Clean debris & lube SGD bottom track,Anchor analog: Shower Bypass Adjust $50/30min; SGD track clean/lube,high,
Doors,Doors > Exterior > Sliding Glass > Install Alarm,Exterior - Sliding Glass - Install Alarm,Labor > Doors > Exterior > Sliding Glass > Install Alarm,each,70,50,90,15,30,no,2026,,"Stick-on battery SGD alarm sensor, no electrical","Wireless/battery SGD contact alarm, adhesive, no wiring",med,
Doors,Doors > Exterior > Sliding Glass > Install New - Fixed Pane,Exterior - Sliding Glass - Install New - Fixed Pane,Labor > Doors > Exterior > Sliding Glass > Install New - Fixed Pane,each,450,380,675,200,120,yes,2026,"New rough openings, garage torsion springs, and hardwired openers we sub to the right licensed pro for safety and code. We coordinate the job.",Set fixed (stationary) SGD panel into frame,"Melbourne SGD roller $75-$150 job / $150-$300; Homewyse repl patio door $1017-$1551; heavy glass panel set, 2-person lift - verify scope",low,VERIFY
