category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Audio Cable Jacks,Install Audio Cable Jacks,Labor > Data / Cable / Ethernet > Install Audio Cable Jacks,each,95,80,140,15,45,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"Install audio (speaker) jack: cut box, fish short cable, terminate binding-post/keystone, plate. Keystone+plate+wire ~$15. VERIFY: new in-wall low-voltage run may fall under FL limited-energy (ES) license.",Homewyse in-wall network cable $233-$457/run; pro low-voltage jack termination $75-$150/port. Task-only ~$90-120 for a new speaker/audio jack with short in-wall pull.,med,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Cable Jack - Ground Up,Install Cable Jack - Ground Up,Labor > Data / Cable / Ethernet > Install Cable Jack - Ground Up,each,100,85,150,12,50,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"New coax (cable TV) jack ground-up: cut box, fish RG6, crimp F-connector, terminate keystone, plate, test. Coax+keystone+plate ~$12. VERIFY: new in-wall run may need FL limited-energy license.",Homewyse in-wall network cable $233-$457/run; low-voltage per-port install $75-$150. Task-only ~$100-130 for a new coax jack with a fresh pull.,med,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Data Jack - Ground Up,Install Data Jack - Ground Up,Labor > Data / Cable / Ethernet > Install Data Jack - Ground Up,each,105,90,160,12,55,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"New Cat6 data jack ground-up: cut box, fish cable, punch down keystone, plate, terminate patch end, test. Cat6+keystone+plate ~$12. VERIFY: new in-wall data run may fall under FL limited-energy (ES) license.",Homewyse in-wall network cable $233-$457/run; certified tech $75-$150/port incl term/test; homeguide $50-$100/port + labor. Task-only Melbourne ~$100-140 per new drop.,high,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Install New Video Cable Jacks,Install New Video Cable Jacks,Labor > Data / Cable / Ethernet > Install New Video Cable Jacks,each,100,85,150,12,50,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"New video jack (coax/component): cut box, fish cable, terminate keystone, plate, test. Cable+keystone+plate ~$12. VERIFY: new in-wall run may need FL limited-energy license.",Homewyse in-wall network cable $233-$457/run; low-voltage per-port $75-$150. Task-only ~$100-130 for a new video/coax jack with fresh pull.,med,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Replace Cable Jack,Replace Cable Jack,Labor > Data / Cable / Ethernet > Replace Cable Jack,each,45,30,60,8,20,no,2026,,"Replace coax jack on existing in-wall cable: pull plate, re-crimp/re-terminate keystone, new plate, test. Keystone+plate ~$8. Uses existing wiring - handyman-legal.","Low-voltage jack swap / re-terminate $50-$90; existing cable in wall, no new run. Task-only ~$50-70.",med,
Data / Cable / Ethernet,Data / Cable / Ethernet > Replace Data Jack,Replace Data Jack,Labor > Data / Cable / Ethernet > Replace Data Jack,each,45,30,60,8,20,no,2026,,"Replace data keystone on existing in-wall Cat cable: pull plate, re-punch keystone, new plate, test. Keystone+plate ~$8. Uses existing wiring - handyman-legal.",Low-voltage jack swap / re-terminate $50-$90; existing cable in wall. Task-only ~$50-70.,med,
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Audio Cable,Run New Audio Cable,Labor > Data / Cable / Ethernet > Run New Audio Cable,each,155,130,230,25,75,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"Run new in-wall audio/speaker cable: drill plates, fish through wall/attic, secure, leave service loops both ends. Wire+clips ~$25. VERIFY: new in-wall low-voltage run may need FL limited-energy license.",Homewyse in-wall cable $233-$457/run; longer in-wall/attic pull. Task-only ~$140-200 per audio cable run depending on distance/access.,med,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Cable Lines,Run New Cable Lines,Labor > Data / Cable / Ethernet > Run New Cable Lines,each,150,130,225,20,75,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"Run new in-wall coax line: drill top plate, fish from box to attic/distribution, secure, service loops. RG6+clips ~$20. VERIFY: new in-wall run may fall under FL limited-energy license.",Homewyse in-wall network cable $233-$457/run; per-drop pull $75-$150 labor plus access time. Task-only ~$140-200 per coax run.,med,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Data Lines,Run New Data Lines,Labor > Data / Cable / Ethernet > Run New Data Lines,each,165,140,250,25,80,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"Run new Cat6 data line: drill plates, fish from jack box to rack/attic, secure cable, service loops, test both ends. Cat6+keystones+clips ~$25. VERIFY: new in-wall data run may fall under FL limited-energy (ES) license.",Homewyse in-wall network cable $233-$457/run; certified tech $75-$150/port; homeguide $50-$100/port + $60-$120/hr labor. Task-only Melbourne ~$150-220 per new data drop.,high,VERIFY
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Video Data Cables,Run New Video Data Cables,Labor > Data / Cable / Ethernet > Run New Video Data Cables,each,165,140,250,25,80,no,2026,New in-wall low-voltage runs may fall under Florida limited-energy licensing. We confirm scope; existing-jack work we handle.,"Run new in-wall video cable (HDMI/coax/component): drill plates, fish (often via pull string/conduit for stiff HDMI), secure, service loops, test. Cable+clips ~$25. VERIFY: new in-wall run may need FL limited-energy license.",Homewyse in-wall cable $233-$457/run; HDMI/coax pulls need conduit/pull box for stiff cable. Task-only ~$150-220 per video cable run.,med,VERIFY
