category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Fencing,Fencing > Chain Link > Install New - Ground Up,Chain Link - Install New - Ground Up,Labor > Fencing > Chain Link > Install New - Ground Up,linear ft,16,,21.5,0,360,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Anchor match - new chain link run; unit LF, engine handles per-foot repeat","Anchor: Chain Link, Build New $600/360min; Homeblue Melbourne chain link $9-$12/LF installed",low,
Fencing,Fencing > Chain Link > Install Privacy Slats,Chain Link - Install Privacy Slats,Labor > Fencing > Chain Link > Install Privacy Slats,each,155,110,200,30,75,no,2026,,No direct anchor; weaving privacy slats maps to component-level chain link labor,"Anchor: Chain Link, Repair/Replace Components $155/75min/$30; slat weave is component-level work",med,
Fencing,Fencing > Chain Link > Repalce Gate Hardware,Chain Link - Replace Gate Hardware,Labor > Fencing > Chain Link > Repalce Gate Hardware,each,95,65,110,20,45,no,2026,,Anchor match - gate hardware (latches/hinges) is per-each,"Anchor: Chain Link Latches & Hinges, Install/Replace $95/45min/$20",high,
Fencing,Fencing > Chain Link > Replace Horizontal Rails,Chain Link - Replace Horizontal Rails,Labor > Fencing > Chain Link > Replace Horizontal Rails,linear ft,6,,8.0,30,75,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Anchor match - top-rail replacement is component repair; unit LF","Anchor: Chain Link, Repair/Replace Components $155/75min/$30",low,
Fencing,Fencing > Chain Link > Replace Vertical Posts,Chain Link - Replace Vertical Posts,Labor > Fencing > Chain Link > Replace Vertical Posts,each,155,110,180,30,75,no,2026,,Anchor match - reset/replace a line or terminal post (each),"Anchor: Chain Link, Repair/Replace Components $155/75min/$30",high,
Fencing,Fencing > Chain Link > Secure Chain Link To Poles,Chain Link - Secure Chain Link To Poles,Labor > Fencing > Chain Link > Secure Chain Link To Poles,each,125,90,160,20,60,no,2026,,Lighter case of component anchor - re-tie/tension existing mesh to posts,"Anchor context: Chain Link, Repair/Replace Components $155/75min; re-tie mesh is lighter",med,
Fencing,Fencing > Masonry > Build New - Ground Up,Masonry - Build New - Ground Up,Labor > Fencing > Masonry > Build New - Ground Up,linear ft,48,,64.75,0,600,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Anchor match - new block/masonry fence run; unit LF. Non-structural garden wall = handyman; if load-bearing/tall confirm on site","Anchor: Block/Masonry, Build New $1200/600min",low,
Fencing,Fencing > Masonry > Mount Gate,Masonry - Mount Gate,Labor > Fencing > Masonry > Mount Gate,each,250,210,290,50,120,no,2026,,Anchor match - hang gate on masonry posts (each),"Anchor: Block/Masonry, Mount Gates To Masonry $250/120min/$50",high,
Fencing,Fencing > Masonry > Mount Hardware,Masonry - Mount Hardware,Labor > Fencing > Masonry > Mount Hardware,each,125,90,145,25,60,no,2026,,Anchor match - latches/hinges on masonry (each),"Anchor: Block/Masonry, Install Latches/Hinges To $125/60min/$25",high,
Fencing,Fencing > Masonry > Repair / Replace Grout,Masonry - Repair / Replace Grout,Labor > Fencing > Masonry > Repair / Replace Grout,each,125,90,145,25,60,no,2026,,Anchor match - regrout/repoint masonry fence joints (each),"Anchor: Block/Masonry, Grout $125/60min/$25",high,
