category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Install New - Ground Up,Ceiling Tile - Install New - Ground Up,Labor > Interior Walls & Ceilings > Ceiling Tile > Install New - Ground Up,sq ft,6.0,,7.75,3,3,no,2026,,Per sq ft glue-down/panel ceiling tile install. ~3 min/sf labor + ~$3/sf mid-grade tile+adhesive. All-in ~$5-6/sf.,Homewyse suspended/drop ceiling install $4.75-$7.25/sf 2026; glue-up tile install labor ~$1.50-$3/sf; anchor Ceiling Tile Glue Down $180 flat = ~90min small area,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove + Skim,Ceiling Tile - Remove + Skim,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove + Skim,sq ft,6.25,,8.0,1,3,yes,2026,,"Per sq ft: pry glued tiles, scrape, skim ceiling flat. ~3 min/sf + minimal mud. Debris hauled.",Homewyse popcorn/skim scrape $1.28-$2.26/sf + skim; tile tear-off adds labor; skim coat $1-3/sf,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove + Skim + Texture,Ceiling Tile - Remove + Skim + Texture,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove + Skim + Texture,sq ft,8.0,,10.5,1,4,yes,2026,,"Per sq ft: remove tiles, skim, then re-texture ceiling. ~4 min/sf + mud/texture. Debris hauled.",Homewyse skim $1-3/sf; texture add $0.50-$1.25/sf; tile removal labor; anchor Drywall Texture premium in book,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Ceiling Tile > Remove Permanently,Ceiling Tile - Remove Permanently,Labor > Interior Walls & Ceilings > Ceiling Tile > Remove Permanently,sq ft,3.25,,4.25,0,2,yes,2026,,"Per sq ft: pry off glued ceiling tiles, no refinish. ~2 min/sf, no material. Debris hauled to dump.",Demo/tear-out labor $1.50-$3/sf; popcorn scrape comps $1.28-$2.26/sf; no material,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Install New - Ground Up,Drop Ceiling - Install New - Ground Up,Labor > Interior Walls & Ceilings > Drop Ceiling > Install New - Ground Up,sq ft,10.0,,11.5,4,5,no,2026,,Per sq ft: hang suspended grid + drop-in tiles ground up. ~5 min/sf labor + ~$4/sf grid & tile. All-in ~$9-10/sf.,Homewyse/Angi drop ceiling installed $9-$13/sf; labor $1.50-$5/sf; grid+tile material $2-$8/sf,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Remove Permanently,Drop Ceiling - Remove Permanently,Labor > Interior Walls & Ceilings > Drop Ceiling > Remove Permanently,sq ft,3.25,,4.25,0,2,yes,2026,,"Per sq ft: drop tiles, unclip grid & wires, tear out. ~2 min/sf, no material. Grid+tile hauled to dump.",Demo/tear-out labor $1.50-$3/sf; grid + tile removal generates bulky debris,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Repair Frame,Drop Ceiling - Repair Frame,Labor > Interior Walls & Ceilings > Drop Ceiling > Repair Frame,sq ft,7.5,,11.25,2,3,no,2026,,"Per sq ft (repair area): re-level, replace bent T-bar/main runner, re-hang wires. ~3 min/sf + grid pieces.",Drop ceiling grid material $2-$8/sf; spot repair labor; interpolated from install $9-13/sf,low,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drop Ceiling > Replace Tile,Drop Ceiling - Replace Tile,Labor > Interior Walls & Ceilings > Drop Ceiling > Replace Tile,sq ft,4.25,,5.0,2,1,no,2026,,"Per sq ft: pop out old tile, drop in new. Fast. ~1 min/sf + ~$2/sf mid tile. Old tile is light, no dump run.",Fiberboard/acoustic tile $1-$7/sf; drop-in swap is quick lift-and-set; homeguide replace tile only,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Install New Drywall - Ground Up,Drywall - Install New Drywall - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Install New Drywall - Ground Up,sq ft,3.0,,3.5,1,3,no,2026,,"Per sq ft: hang, tape, mud, sand to Level 4. ~3 min/sf + ~$1/sf board/mud/tape. All-in ~$2.50-3/sf. Anchor Drywall Install New ($240 flat) is per-panel comp.","Homewyse hang $2.26-$2.69/sf; hang+tape+finish (Level 4) median $2.41/sf, range $1.60-$3.75/sf 2026",high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Paint - Ground Up,Drywall - Paint - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Paint - Ground Up,sq ft,3.0,,3.5,1,1,no,2026,,Per sq ft paintable surface: 2 coats on new/primed drywall. ~1.5 min/sf + ~$1/sf paint. All-in ~$2.50-3/sf.,"Melbourne FL interior paint $2-$3.50/sf standard repaint (RPB, CertaPro); ceilings $0.75-$1.50/sf",high,
Interior Walls & Ceilings,"Interior Walls & Ceilings > Drywall > Patch - 1"" Diameter To 4"" Diameter","Drywall - Patch - 1"" Diameter To 4"" Diameter","Labor > Interior Walls & Ceilings > Drywall > Patch - 1"" Diameter To 4"" Diameter",each,95,65,110,10,40,no,2026,,"Small hole (golf-ball size): mesh/California patch, mud, sand. Priced as a discrete patch not per-sf. Slightly under full patch anchor.",Anchor Drywall Patch $120/60min; small hole patch $150 comps incl travel; California-patch mid-size,high,
Interior Walls & Ceilings,"Interior Walls & Ceilings > Drywall > Patch - 4"" Diameter To 1 Square Foot","Drywall - Patch - 4"" Diameter To 1 Square Foot","Labor > Interior Walls & Ceilings > Drywall > Patch - 4"" Diameter To 1 Square Foot",each,120,85,140,20,60,no,2026,,"Standard drywall patch up to 1 sf: cut square, backer, new piece, tape, 2-3 mud coats, sand. Direct anchor match.",Anchor Drywall Patch $120/60min/$20; Angi/HomeGuide medium hole $100-$150 incl blend,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Patch - Less than 1 Inch Diameter (Fill),Drywall - Patch - Less than 1 Inch Diameter (Fill),Labor > Interior Walls & Ceilings > Drywall > Patch - Less than 1 Inch Diameter (Fill),each,55,30,65,5,20,no,2026,,"Pinhole/nail-hole fill: spackle, sand, spot-prime. Quick discrete fill, below nail-pop anchor.","Anchor Nail Pop Repair $85/45min; tiny fill (nail/screw hole) is spackle+sand+touchup, under nail-pop scope",high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Patch - More Than 1 Square Foot,Drywall - Patch - More Than 1 Square Foot,Labor > Interior Walls & Ceilings > Drywall > Patch - More Than 1 Square Foot,each,200,170,230,35,100,no,2026,,"Large patch over 1 sf: backing, new drywall section, tape, 3 mud coats, sand, texture-match. Between patch & full install anchors.",Anchor Drywall Install New $240/120min & Patch And Paint $180/90min; large patch = cut-in new board + finish,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Prime - Ground Up,Drywall - Prime - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Prime - Ground Up,sq ft,3.0,,4.0,1,1,no,2026,,Per sq ft: single PVA primer coat on bare drywall. ~1 min/sf + ~$0.50/sf primer. All-in ~$1-1.50/sf.,Melbourne paint labor $2-3.50/sf; primer coat is ~1/3 of a full repaint; PVA primer ~$0.30-0.50/sf material,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Repair Nail Pops,Drywall - Repair Nail Pops,Labor > Interior Walls & Ceilings > Drywall > Repair Nail Pops,each,85,60,100,10,45,no,2026,,"Reset popped nails/screws, mud, sand, spot-prime. Direct anchor. (Unit tagged sq ft but priced as discrete repair.)",Anchor Drywall Nail Pop Repair $85/45min/$10 exact match,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Repair Peeling Joint Tape,Drywall - Repair Peeling Joint Tape,Labor > Interior Walls & Ceilings > Drywall > Repair Peeling Joint Tape,each,145,100,165,20,75,no,2026,,"Cut out failed tape, re-tape seam, 3 mud coats, sand, feather. Direct anchor. (Priced as discrete seam repair.)",Anchor Drywall Broken Joint/Tape Repair $145/75min/$20 exact match,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Skim - Ground Up,Drywall - Skim - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Skim - Ground Up,sq ft,2.0,,2.25,1,2,no,2026,,Per sq ft: full skim coat to Level 5 smooth. ~2 min/sf + ~$1/sf mud. All-in ~$2/sf.,Skim coat $1-$3/sf (Homewyse/Angi 2026); anchor Drywall Smooth Finish $145 flat (Level 5 comp),high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Tape Joints - Ground Up,Drywall - Tape Joints - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Tape Joints - Ground Up,sq ft,3.0,,4.0,1,1,no,2026,,Per sq ft: tape and mud seams only (no hanging). ~1.5 min/sf + ~$0.50/sf tape/mud. All-in ~$1-1.50/sf.,Homewyse tape & mud $0.35-$1.10/sf 2026; tape+3 coats labor,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Drywall > Texture - Ground Up,Drywall - Texture - Ground Up,Labor > Interior Walls & Ceilings > Drywall > Texture - Ground Up,sq ft,2.0,,2.25,1,1,no,2026,,Per sq ft: spray/roll knockdown or orange-peel texture. ~1.5 min/sf + ~$0.50-1/sf mud. All-in ~$1.50-2/sf.,Texture add $0.50-$1.25/sf (Homewyse/HomeGuide 2026); anchor Drywall Texture $120 flat (small-area comp),high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Custom Paint Match Fee,Paint - Custom Paint Match Fee,Labor > Interior Walls & Ceilings > Paint > Custom Paint Match Fee,each,70,50,90,15,30,no,2026,,"Per each: take chip to store, scan/match custom color, buy sample, verify. Flat add-on fee. Not per-sf.",Paint store custom color-match/scan fee + trip; Sherwin/Behr computer match; sample quart ~$10-15,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Bathroom Paint,Paint - Per Bathroom Paint,Labor > Interior Walls & Ceilings > Paint > Per Bathroom Paint,each,245,210,320,35,120,no,2026,,"Per each bathroom: heavy cut-in around vanity/tile/fixtures, 2 coats walls, small footprint but slow detail work.",Melbourne FL per-room paint; small bath high cut-in/detail; CertaPro/RPB $2-3.50/sf paintable; small room $150-300,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Bedroom Room Paint,Paint - Per Bedroom Room Paint,Labor > Interior Walls & Ceilings > Paint > Per Bedroom Room Paint,each,425,360,550,60,210,no,2026,,"Per each standard bedroom: prep, tape, cut-in, 2 coats walls (ceiling separate). ~3.5 hr solo + paint/supplies.",Melbourne FL avg bedroom repaint $300-$450; CertaPro/RPB per-room; anchor Full Interior $350/360min as scale check,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Closet / Pantry Paint,Paint - Per Closet / Pantry Paint,Labor > Interior Walls & Ceilings > Paint > Per Closet / Pantry Paint,each,150,105,195,20,75,no,2026,,"Per each closet/pantry: small but fiddly (corners, shelves). Cut-in heavy, 2 coats. ~1.25 hr + paint.","Melbourne per-room paint scaled to small enclosed space; lots of cut-in per sf, shelving to cut around",med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Hour Paint,Paint - Per Hour Paint,Labor > Interior Walls & Ceilings > Paint > Per Hour Paint,hour,100,,115,0,60,no,2026,,Per hour: hands-on painting at shop rate. 60 min = 1 billable hour at $100. Material supplied separately.,Painter hourly $45-$90/hr labor (Fixr); Manny billing rate $100/hr per SPEC; material billed separately,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Kitchen Paint,Paint - Per Kitchen Paint,Labor > Interior Walls & Ceilings > Paint > Per Kitchen Paint,each,360,305,470,50,180,no,2026,,"Per each kitchen: mask cabinets/counters, heavy cut-in, 2 coats on limited wall area. ~3 hr solo + paint.","Melbourne per-room paint; kitchen = lots of cut-in around cabinets/backsplash/appliances, less open wall",med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Per Square Foot Paint,Paint - Per Square Foot Paint,Labor > Interior Walls & Ceilings > Paint > Per Square Foot Paint,sq ft,3.0,,3.5,1,1,no,2026,,"Per sq ft paintable surface: 2 coats, standard color/prep. ~1.5 min/sf + ~$1/sf paint. All-in ~$2.50-3/sf.","Melbourne FL interior paint $2-$3.50/sf paintable, standard repaint (RPB, CertaPro 2026)",high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paint > Whole House Paint - Interior,Paint - Whole House Paint - Interior,Labor > Interior Walls & Ceilings > Paint > Whole House Paint - Interior,each,350,300,400,0,360,no,2026,,Per each: whole-house interior repaint base/day-rate anchor. Manny prices Full Interior at $350 base; scope scales.,Anchor Paint Full Interior $350/360min/$0 exact match; Melbourne full-interior repaint scales up from here,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paneling / Tongue & Groove > Install New - Ground Up,Paneling / Tongue & Groove - Install New - Ground Up,Labor > Interior Walls & Ceilings > Paneling / Tongue & Groove > Install New - Ground Up,sq ft,8.0,,9.25,4,3,no,2026,,"Per sq ft: install new T&G/paneling boards ground up (blind-nail, cut, fit). ~3 min/sf + ~$4/sf boards. All-in ~$7-8/sf.",Homewyse/Angi/HomeGuide T&G ceiling/paneling installed $4-$10/sf; material $2-$6/sf; labor $2-$4/sf 2026,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Paneling / Tongue & Groove > Replace,Paneling / Tongue & Groove - Replace,Labor > Interior Walls & Ceilings > Paneling / Tongue & Groove > Replace,sq ft,8.0,,10.5,4,3,yes,2026,,"Per sq ft: remove old paneling, install new boards. ~3 min/sf + ~$4/sf. Old paneling hauled to dump.",T&G/paneling installed $4-$10/sf; replace = tear old + install new; material $2-$6/sf; anchor Shiplap Install/Replace $250,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Plaster > Patch - Large,Plaster - Patch - Large,Labor > Interior Walls & Ceilings > Plaster > Patch - Large,each,240,205,310,35,120,no,2026,,"Per each large plaster patch: lath/backer, base + brown + finish coats, mesh, multi-cure, match texture. Slow.",Angi large plaster patch $310-$485/patch; large structural cracks $100-300; anchor Drywall Install New $240/120min,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Plaster > Patch - Medium,Plaster - Patch - Medium,Labor > Interior Walls & Ceilings > Plaster > Patch - Medium,each,145,100,190,20,75,no,2026,,"Per each medium plaster patch: fill, mesh, multiple plaster coats, cure between, sand, texture-match. Anchor to smooth-finish scope.",Homewyse/Angi plaster repair national avg $310-485/patch high end; medium hole $100-200; anchor Drywall Smooth Finish $145/75min,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Plaster > Patch - Small,Plaster - Patch - Small,Labor > Interior Walls & Ceilings > Plaster > Patch - Small,each,85,60,110,10,45,no,2026,,"Per each small plaster patch: fill crack/hole, mesh if needed, 2 coats, sand, touch-up. Anchor to small-repair scope.",Angi/HomeGuide small plaster crack/hole $75-$200; hairline $20-50; anchor Drywall Nail Pop Repair $85/45min,med,
Interior Walls & Ceilings,Interior Walls & Ceilings > Popcorn > Remove Popcorn + Skim + Texture,Popcorn - Remove Popcorn + Skim + Texture,Labor > Interior Walls & Ceilings > Popcorn > Remove Popcorn + Skim + Texture,sq ft,5.0,,5.75,1,4,yes,2026,,"Per sq ft: scrape popcorn, skim smooth, re-texture ceiling. ~4 min/sf + ~$1/sf mud/texture. Scrapings hauled to dump.",Homewyse popcorn remove w/ refinish $1.84-$3.46/sf; FL full removal+finish $2-$6/sf; skim $1-3 + texture $0.50-1.25/sf,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Popcorn > Remove Popcorn Permanently,Popcorn - Remove Popcorn Permanently,Labor > Interior Walls & Ceilings > Popcorn > Remove Popcorn Permanently,sq ft,3.0,,3.5,0,2,yes,2026,,"Per sq ft: scrape popcorn off, no skim/finish. ~2 min/sf, minimal material. Scrapings hauled to dump. Asbestos test if pre-1980 (VERIFY on site).",Homewyse popcorn scrape only $1.28-$2.26/sf 2026; FL base non-asbestos $1-3/sf; anchor Popcorn Remove $225 flat,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Popcorn > Remove Popocorn + Skim,Popcorn - Remove Popcorn + Skim,Labor > Interior Walls & Ceilings > Popcorn > Remove Popocorn + Skim,sq ft,4.0,,4.5,1,3,yes,2026,,"Per sq ft: scrape popcorn, skim ceiling flat (no texture). ~3 min/sf + ~$1/sf mud. Scrapings hauled to dump.",Homewyse popcorn remove+skim $1.84-$3.46/sf; FL $2-6/sf w/ refinish; skim coat $1-3/sf,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Tongue & Groove > Install New - Ground Up,Tongue & Groove - Install New - Ground Up,Labor > Interior Walls & Ceilings > Tongue & Groove > Install New - Ground Up,sq ft,8.0,,9.25,4,3,no,2026,,Per sq ft: install new T&G plank ceiling/wall ground up. ~3 min/sf + ~$4/sf pine boards. All-in ~$7-8/sf.,Homewyse/Angi/HomeGuide T&G ceiling installed $4-$10/sf; pine $1.50-4/sf board; labor $2-4/sf 2026,high,
Interior Walls & Ceilings,Interior Walls & Ceilings > Tongue & Groove > Patch / Repair,Tongue & Groove - Patch / Repair,Labor > Interior Walls & Ceilings > Tongue & Groove > Patch / Repair,sq ft,175.0,,262.5,25,90,no,2026,,"[REVIEW-UNIT] Per each repair: remove damaged planks, cut and fit matching boards, blind-nail, blend. Discrete small-area repair.","T&G installed $4-10/sf; spot repair = pull damaged boards, cut/fit replacements; anchor Shiplap Install/Replace $250/120min",low,
