category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Roofing,Roofing > Apply Elastomeric Coating Flat Roof,Apply Elastomeric Coating Flat Roof,Labor > Roofing > Apply Elastomeric Coating Flat Roof,each,550,470,825,120,240,no,2026,Roof-system and penetration work needs a licensed roofer and a permit. We coordinate a licensed sub; minor gutter and soffit we handle.,"REFER - full flat-roof membrane coating is roofing-system work (re-roof adjacent), licensed roofer + permit; priced for reference",Homewyse/HomeGuide elastomeric roof coating $0.80-$2.50/sf; whole-membrane recoat is a roofing-system job,med,REFER
Roofing,Roofing > Clear Scuppers,Clear Scuppers,Labor > Roofing > Clear Scuppers,each,155,110,180,30,75,no,2026,,"Anchor-based - clear/clean scupper drains, minor maintenance = handyman","Anchor: Scuppers, Repair $155/75min/$30",high,
Roofing,Roofing > Install / Replace Pipe Boot,Install / Replace Pipe Boot,Labor > Roofing > Install / Replace Pipe Boot,each,200,170,300,40,90,no,2026,Roof-system and penetration work needs a licensed roofer and a permit. We coordinate a licensed sub; minor gutter and soffit we handle.,"REFER - pipe-boot/vent flashing is a roof-penetration leak repair (lift shingles, reflash) beyond minor gutter/soffit work; licensed roofer; priced for reference","Angi/Gerico FL roof vent boot $350-$900, plumbing vent boot $100-$300; material $75-$250",med,REFER
Roofing,Roofing > Install Downspout - Ground Up,Install Downspout - Ground Up,Labor > Roofing > Install Downspout - Ground Up,each,125,90,160,25,60,no,2026,,"Downspout only (no roof penetration), fascia-attached = handyman; ~half the gutter-run labor","Anchor context: Gutters, Install New $250/120min/$50; downspout is the vertical leg only; Homewyse gutter $10-$16/LF",med,
Roofing,Roofing > Install Gutters - Ground Up,Install Gutters - Ground Up,Labor > Roofing > Install Gutters - Ground Up,linear ft,8,,10.75,50,120,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Anchor match - new gutter run on fascia (no roof penetration) = handyman; unit LF, engine per-foot","Anchor: Gutters, Install New $250/120min/$50; FL seamless aluminum $6-$12/LF, Homewyse $10.41-$15.77/LF",low,
Roofing,Roofing > Install Satellite Dish,Install Satellite Dish,Labor > Roofing > Install Satellite Dish,each,115,80,130,15,60,no,2026,,Anchor match - mount satellite dish (surface bracket) = handyman,"Anchor: Satellite Dishes, Install/Remove $115/60min/$15",high,
Roofing,Roofing > Install Vent Cap,Install Vent Cap,Labor > Roofing > Install Vent Cap,each,125,105,190,25,60,no,2026,A new roof penetration is licensed-roofer work; a like-for-like swap we handle. We confirm on site.,"Anchor match on price; VERIFY - new vent cap install cuts/seals a roof penetration; replace-in-kind is handyman, new opening is licensed roofer","Anchor: Vent Caps, Install/Replace $125/60min/$25",med,VERIFY
Roofing,Roofing > Install Whirlybird / Attic Vent,Install Whirlybird / Attic Vent,Labor > Roofing > Install Whirlybird / Attic Vent,each,160,135,240,35,75,no,2026,A new roof penetration is licensed-roofer work; a like-for-like swap we handle. We confirm on site.,Anchor match on price; VERIFY - new turbine vent cuts a roof-deck penetration (licensed roofer); like-for-like swap is handyman,"Anchor: Vents, Whirlybird, Install/Replace $160/75min/$35",med,VERIFY
Roofing,Roofing > Remove Old Satellite Cables,Remove Old Satellite Cables,Labor > Roofing > Remove Old Satellite Cables,each,90,65,115,0,45,no,2026,,"Pull/coil abandoned coax off roof and eaves, no penetration = handyman; lighter than dish removal","Anchor context: Satellite Dishes, Install/Remove $115/60min; cable-only pull is lighter",med,
Roofing,Roofing > Remove Satellite Dish,Remove Satellite Dish,Labor > Roofing > Remove Satellite Dish,each,115,80,130,15,60,no,2026,,Anchor match - dismount dish and seal bracket holes = handyman,"Anchor: Satellite Dishes, Install/Remove $115/60min/$15",high,
Roofing,Roofing > Replace Downspout,Replace Downspout,Labor > Roofing > Replace Downspout,each,125,90,160,25,60,no,2026,,"Swap a downspout section, fascia-mounted (no roof penetration) = handyman","Anchor context: Gutters, Rapair $125/60min/$25; downspout swap on fascia",med,
Roofing,Roofing > Replace Skylight Curb,Replace Skylight Curb,Labor > Roofing > Replace Skylight Curb,each,190,160,285,40,90,no,2026,Roof-system and penetration work needs a licensed roofer and a permit. We coordinate a licensed sub; minor gutter and soffit we handle.,"REFER - reworking the skylight curb opens the roof-deck penetration/flashing (leak-prone), licensed roofer; priced for reference",Anchor context: Skylight covers $190/90min; clear-innovate dome/glass w-labor $300-$800,med,REFER
Roofing,Roofing > Replace Skylight Inner Dome,Replace Skylight Inner Dome,Labor > Roofing > Replace Skylight Inner Dome,each,165,115,215,35,75,no,2026,,Inner dome swaps from below/at curb without breaking roof flashing = handyman; lighter than full cover,"Anchor: Skylight, Covers, Replace $190/90min/$40; clear-innovate dome replace $300-$800 incl labor",med,
Roofing,Roofing > Replace Skylight Outer Dome,Replace Skylight Outer Dome,Labor > Roofing > Replace Skylight Outer Dome,each,190,160,285,40,90,no,2026,A new roof penetration is licensed-roofer work; a like-for-like swap we handle. We confirm on site.,"Anchor match; VERIFY - outer dome sits on the curb/flashing; if reseal disturbs roof penetration it is licensed roofer, else handyman","Anchor: Skylight, Covers, Replace $190/90min/$40; skylightdepot acrylic domes $43-$100+",med,VERIFY
Roofing,Roofing > Replace Vent Cap,Replace Vent Cap,Labor > Roofing > Replace Vent Cap,each,125,90,145,25,60,no,2026,,Anchor match - like-for-like vent cap swap on existing penetration = handyman,"Anchor: Vent Caps, Install/Replace $125/60min/$25",high,
Roofing,Roofing > Replace Whirlybird / Attic Vent,Replace Whirlybird / Attic Vent,Labor > Roofing > Replace Whirlybird / Attic Vent,each,160,110,185,35,75,no,2026,,Anchor match - like-for-like turbine vent swap on existing penetration = handyman,"Anchor: Vents, Whirlybird, Install/Replace $160/75min/$35",high,
Roofing,Roofing > Secure Gutters,Secure Gutters,Labor > Roofing > Secure Gutters,linear ft,4,,5.5,15,60,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Re-secure loose gutter to fascia (hangers/screws), minor fascia work = handyman; unit LF","Anchor context: Gutters, Rapair $125/60min/$25; re-hang/re-fasten only",low,
