category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Flooring,Flooring > Carpet > Install New - Ground Up,Carpet - Install New - Ground Up,Labor > Flooring > Carpet > Install New - Ground Up,sq ft,6.0,,7.0,3,3,no,2026,,"Per SQ FT. Anchor 'Carpet, Install New' is per-room each ($230/120min); here unit is SF so labor ~3min/SF, mid-grade carpet+pad material ~$3/SF. Handyman-legal finish. Engine multiplies per-foot.",Homewyse install carpet $5.27-7.72/SF all-in; homeyou Melbourne labor $3-6/yd; HomeGuide carpet+pad install,high,
Flooring,Flooring > Carpet > Patch / Repair,Carpet - Patch / Repair,Labor > Flooring > Carpet > Patch / Repair,sq ft,8.0,,10.5,3,4,no,2026,,Per SQ FT. Patch is fussier than fresh lay; small area so higher min/SF. Handyman-legal.,"Anchor 'Carpet, Patching' $120/60min/$20; Homewyse carpet install $5-7.72/SF",med,
Flooring,Flooring > Carpet > Remove Permanently,Carpet - Remove Permanently,Labor > Flooring > Carpet > Remove Permanently,sq ft,1.75,,2.0,0,1,yes,2026,,"Per SQ FT. Tear up + roll stretch-in carpet & pad; ~1min/SF hands-on, no material. Debris = dump run.",Homewyse remove carpet $1.37-2.49/SF; stretch-in removal $0.50-1.50/SF; labor ~$60/hr,high,
Flooring,Flooring > Carpet > Replace,Carpet - Replace,Labor > Flooring > Carpet > Replace,sq ft,8.0,,9.25,3,4,yes,2026,,Per SQ FT. Remove old + lay new = install min plus tear-out; old carpet hauled. Handyman-legal.,"Anchor 'Carpet, Install New' $230/120min; Homewyse replace carpet $5-7.72/SF incl tear-out",high,
Flooring,Flooring > Carpet > Shampoo / Steam Clean,Carpet - Shampoo / Steam Clean,Labor > Flooring > Carpet > Shampoo / Steam Clean,sq ft,1.0,,1.25,0,1,no,2026,,"Per SQ FT. Steam clean; light labor per foot, cleaning solution material folds into allowance. Handyman-legal.","Anchor 'Carpet, Cleaning' $115/60min/$15 (per-room); Homewyse clean carpet ~$0.30-0.55/SF",med,
Flooring,Flooring > Carpet > Stretch,Carpet - Stretch,Labor > Flooring > Carpet > Stretch,sq ft,2.0,,2.5,0,2,no,2026,,Per SQ FT. Re-stretch existing carpet with power stretcher; no material. Handyman-legal.,"Anchor 'Carpet, Stretching' $160/90min/$10 (per-room); power-stretch re-tension",med,
Flooring,Flooring > Hardwood > Install New - Ground Up,Hardwood - Install New - Ground Up,Labor > Flooring > Hardwood > Install New - Ground Up,sq ft,14.0,,16.0,6,6,no,2026,,"Per SQ FT. Nail/glue solid or engineered wood; ~6min/SF hands-on, mid-grade wood ~$6/SF. Handyman-legal finish.","Homewyse install hardwood $13.19-16.72/SF; labor $3-8/SF, material $3-15/SF; Angi hardwood install",high,
Flooring,Flooring > Hardwood > Patch / Repair,Hardwood - Patch / Repair,Labor > Flooring > Hardwood > Patch / Repair,sq ft,18.0,,23.5,8,8,no,2026,,"Per SQ FT. Cut out & weave matching boards; small area, high min/SF + premium board waste. Handyman-legal.","Anchor 'Wood Floors, Replace Damaged Pieces' $180/90min/$30; weave-in patch is slow per SF",med,
Flooring,Flooring > Hardwood > Remove Permanently,Hardwood - Remove Permanently,Labor > Flooring > Hardwood > Remove Permanently,sq ft,5.0,,5.75,0,3,yes,2026,,"Per SQ FT. Pry up nailed/glued wood + cleanup; ~3min/SF, no material. Debris = dump run.",Homewyse remove flooring $1.37-3.10/SF; nailed hardwood pry-up harder than carpet,high,
Flooring,Flooring > Hardwood > Replace,Hardwood - Replace,Labor > Flooring > Hardwood > Replace,sq ft,18.0,,20.75,6,8,yes,2026,,Per SQ FT. Remove old + install new wood; install min plus pry-out. Old boards hauled. Handyman-legal.,"Anchor 'Wood Floors, Install New' $350/180min; Homewyse hardwood replace $13-17/SF + tear-out",high,
Flooring,Flooring > Laminate - Wood > Install New - Ground Up,Laminate - Wood - Install New - Ground Up,Labor > Flooring > Laminate - Wood > Install New - Ground Up,sq ft,6.0,,7.0,3,3,no,2026,,"Per SQ FT. Click-lock floating laminate over underlayment; ~3min/SF, mid-grade laminate+pad ~$3/SF. Handyman-legal.","Anchor 'Laminate, Floating, Install New' $290/150min/$40; Homewyse laminate install ~$5-8/SF",high,
Flooring,Flooring > Laminate - Wood > Patch / Repair,Laminate - Wood - Patch / Repair,Labor > Flooring > Laminate - Wood > Patch / Repair,sq ft,10.0,,13.0,4,6,no,2026,,Per SQ FT. Pop planks back to damage & re-lay; small area high min/SF. Handyman-legal.,"Anchor 'Laminate, Floating, Repair/Replace' $120/60min/$20; board swap in floating floor",med,
Flooring,Flooring > Laminate - Wood > Remove Permanently,Laminate - Wood - Remove Permanently,Labor > Flooring > Laminate - Wood > Remove Permanently,sq ft,1.75,,2.0,0,1,yes,2026,,"Per SQ FT. Floating laminate lifts quickly; ~1min/SF, no material. Debris = dump run.",Homewyse remove flooring $1.37-2.49/SF; floating laminate unclicks fast,high,
Flooring,Flooring > Laminate - Wood > Replace,Laminate - Wood - Replace,Labor > Flooring > Laminate - Wood > Replace,sq ft,7.0,,8.0,3,4,yes,2026,,Per SQ FT. Pull old floating floor + lay new; install min plus light tear-out. Old planks hauled. Handyman-legal.,"Anchor 'Laminate, Floating, Install New' $290/150min; Homewyse laminate ~$5-8/SF + tear-out",high,
