category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Cabinets,Cabinets > Caulk Countertops,Caulk Countertops,Labor > Cabinets > Caulk Countertops,each,60,35,70,10,30,no,2026,,Per EACH. Clean seam & re-caulk countertop-to-backsplash/wall; direct anchor. Handyman-legal.,"Anchor 'Cabinet Countetops, Caulk' $60/30min/$10",high,
Cabinets,Cabinets > Install New - Ground Up - Bathroom Medicine,Install New - Ground Up - Bathroom Medicine,Labor > Cabinets > Install New - Ground Up - Bathroom Medicine,each,100,70,130,20,45,no,2026,,"Per EACH. Locate studs, mount surface/recessed medicine cabinet level; light install = handyman-legal.","Anchor 'Cabinet, Door, Replace' $100/45min/$25 analog; Homewyse mount cabinet $274-422/cab; recessed/surface medicine cabinet mount",med,
Cabinets,Cabinets > Install New - Ground Up - Bathroom Vanity,Install New - Ground Up - Bathroom Vanity,Labor > Cabinets > Install New - Ground Up - Bathroom Vanity,each,230,195,265,30,120,no,2026,,"Per EACH. Set & scribe vanity cabinet, shim level, anchor to wall; direct anchor. Plumbing hookup priced separately. Handyman-legal set.","Anchor 'Cabinet, Vanity, Replace/Install' $230/120min/$30; Homewyse install cabinet $274-422/cab",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Base,Install New - Ground Up - Kitchen Base,Labor > Cabinets > Install New - Ground Up - Kitchen Base,each,175,150,200,25,90,no,2026,,"Per EACH (per box). Set base cabinet, level/shim, screw to studs & join runs; direct anchor. Handyman-legal install.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25; Homewyse install kitchen base cabinet $672-1015/cab all-in",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Pantry,Install New - Ground Up - Kitchen Pantry,Labor > Cabinets > Install New - Ground Up - Kitchen Pantry,each,230,195,265,30,120,no,2026,,"Per EACH. Set tall pantry cabinet, plumb & anchor top+bottom; direct anchor. Handyman-legal install.","Anchor 'Cabinet, Pantry/Laundry, Replace/Install' $230/120min/$30; Homewyse tall cabinet install",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Upper,Install New - Ground Up - Kitchen Upper,Labor > Cabinets > Install New - Ground Up - Kitchen Upper,each,175,150,200,25,90,no,2026,,"Per EACH (per box). Hang upper wall cabinet on ledger, level & screw to studs; maps to kitchen cabinet anchor. Handyman-legal.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25; Homewyse install wall cabinet $589-889/cab all-in",high,
Cabinets,Cabinets > Install New Countertops - Ground Up,Install New Countertops - Ground Up,Labor > Cabinets > Install New Countertops - Ground Up,each,400,340,460,0,240,no,2026,,"Per EACH (per kitchen run). Template, cut, set & fasten laminate/prefab top, seams & sink cutout; direct anchor. Countertop material customer-supplied/priced separately. Handyman-legal.","Anchor 'Cabinet Coutertops, Replace/Install' $400/240min/$0 (top customer-supplied/separate); Homewyse laminate countertop $41.94-63.77/SF",high,
Cabinets,Cabinets > Install New Door / Drawer Pulls - Ground Up,Install New Door / Drawer Pulls - Ground Up,Labor > Cabinets > Install New Door / Drawer Pulls - Ground Up,each,60,35,70,10,30,no,2026,,"Per EACH (per set/batch). Jig, drill & mount knobs/pulls on doors & drawers; direct anchor. Handyman-legal.","Anchor 'Cabinet, Door And Drawer Pulls, Replace/Install' $60/30min/$10",high,
Cabinets,Cabinets > Remove Permanently,Remove Permanently,Labor > Cabinets > Remove Permanently,each,100,70,130,0,60,yes,2026,,"Per EACH (per cabinet). Unscrew & pry cabinet from wall/floor, cap nothing (plumbing/elec by others); old box hauled to dump. Demo = handyman-legal.","Anchor context 'Cabinet, Kitchen, Replace/Install' 90min (install half is demo); Homewyse cabinet removal",med,
Cabinets,Cabinets > Repair Drawer Front,Repair Drawer Front,Labor > Cabinets > Repair Drawer Front,each,90,65,115,15,45,no,2026,,Per EACH. Re-glue/re-screw or patch loose drawer front to box; lighter than full drawer. Handyman-legal.,"Anchor 'Cabinet Drawer, Replace' $130/60min/$30; front-only repair is lighter",med,
