Task,Category,Unit,Labor min,Material $ (+25%),Price trip-excl $ (time math),Book figure (floor ref),Time-math vs book,Variable,Standalone min,Notes
Bathroom faucet replace/install,Bathroom,each,60,0.0,100,$100,in book range,,yes ($200 job-min),client supplies faucet; p46
Sink drain replace/install,Bathroom,each,75,25.0,150,$100-250,in book range,V,yes ($200 job-min),range=complexity
Minor sink drain cleaning,Bathroom,each,40,0.0,67,$65,above book,,yes ($200 job-min),
Bathroom sink replace/install,Bathroom,each,90,31.25,181,$200-350,in book range,V,yes ($200 job-min),
Bathroom vanity replace/install,Bathroom,each,150,50.0,300,$300-400,in book range,V,,
Towel bar replace/install,Bathroom,each,20,10.0,43,$45,in book range,,yes ($200 job-min),tiny job
GFCI outlet replace/install,Bathroom,each,30,25.0,75,$120,UNDER book floor - review,,yes ($200 job-min),electrical going rate
Angle stop / supply valve replace,Bathroom,each,35,18.75,77,$85,in book range,,yes ($200 job-min),
Water-supply hoses replace/install,Bathroom,each,20,15.0,48,$35,above book,,yes ($200 job-min),
Medicine cabinet replace/install,Bathroom,each,75,37.5,162,$100-200,in book range,V,yes ($200 job-min),
Bathroom mirror replace/install,Bathroom,each,45,25.0,100,$75-175,in book range,V,yes ($200 job-min),
Toilet replacement/installation,Bathroom,each,90,31.25,181,$145,above book,,yes ($200 job-min),CONFLICT D3: keep ratebook 185
Toilet flange replace/repair,Bathroom,each,90,25.0,175,$185-300,in book range,V,yes ($200 job-min),distinct from toilet swap
Toilet flush/fill valve replace,Bathroom,each,40,22.5,89,$90,in book range,,yes ($200 job-min),
Toilet wax ring replacement,Bathroom,each,50,10.0,93,$100,in book range,,yes ($200 job-min),
Shower cartridge replacement,Bathroom,each,60,37.5,138,$150-250,in book range,V,yes ($200 job-min),
Shower head replacement,Bathroom,each,20,0.0,33,$45,UNDER book floor - review,,yes ($200 job-min),client supplies head
Shower/bathtub recaulking,Bathroom,lump sum,90,15.0,165,$130-200,in book range,V,yes ($200 job-min),
Shower curtain rod installation,Bathroom,each,30,18.75,69,$65,above book,,yes ($200 job-min),
Shower door replace/install,Bathroom,each,120,50.0,250,$150-300,in book range,V,,
Bath exhaust fan install w/ wiring,Bathroom,each,120,37.5,238,$200-300,in book range,V,,
Bathroom light fixture replace/install,Bathroom,each,45,15.0,90,$85,above book,,yes ($200 job-min),
