category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Carpentry,Carpentry > Build Deck - Ground Up,Build Deck - Ground Up,Labor > Carpentry > Build Deck - Ground Up,each,1500,1275,2250,0,720,no,2026,"Load-bearing and structural work (ledger, posts) may need a permit and engineering. We confirm scope before quoting.",Per EACH (whole small deck). Frame + deck a ground-level platform; matches book anchor. Ground-contact/freestanding low deck = handyman; attached/elevated deck ledger to house is structural = confirm scope & permit on site. Material priced separately.,"Anchor 'Deck, Build New' $1500/720min/$0 (material customer-supplied/separate); Homewyse install wood decking $11.51-14.79/SF, labor $15-35/SF",med,VERIFY
Carpentry,Carpentry > Fill / Repair Rotten Fascia,Fill / Repair Rotten Fascia,Labor > Carpentry > Fill / Repair Rotten Fascia,each,180,155,205,30,90,no,2026,,"Per EACH (per section). Cut out rot, epoxy/fill or splice fascia board, prime; direct anchor. Handyman-legal repair.","Anchor 'Fascia, Repair/Replace' $180/90min/$30",high,
Carpentry,Carpentry > Install Bannister,Install Bannister,Labor > Carpentry > Install Bannister,each,325,275,420,60,150,no,2026,,"Per EACH (typical short flight run). Set newel posts, rail & balusters on existing stairs; non-structural safety rail = handyman-legal. Material mid-grade wood/metal kit.",HomeAdvisor stair railing avg $900; Homewyse stairway handrail $40-60/LF; cheapstairparts banister 17-34hr full system,med,
Carpentry,Carpentry > Install Baseboard / Ground Up,Install Baseboard / Ground Up,Labor > Carpentry > Install Baseboard / Ground Up,linear ft,10.0,,11.5,2,6,no,2026,,"Per LINEAR FT. Measure, miter, nail & caulk baseboard; ~6min/LF, mid-grade MDF/pine base ~$2/LF. Handyman-legal. Engine multiplies per-foot.","Anchor 'Baseboard, Install/Replace' $60/30min/$10 (per-piece each); Homewyse install baseboard $8.96-13.71/LF",high,
Carpentry,Carpentry > Install Chair Rail - Ground Up,Install Chair Rail - Ground Up,Labor > Carpentry > Install Chair Rail - Ground Up,linear ft,11.0,,12.75,3,6,no,2026,,"Per LINEAR FT. Snap level line, miter & nail chair rail, caulk; ~6min/LF, rail stock ~$3/LF. Handyman-legal.","Anchor 'Chair Rail, Install/Replace' $90/45min/$15; Homewyse install molding ~$4-9/LF labor",high,
Carpentry,Carpentry > Install Crown Molding - Ground Up,Install Crown Molding - Ground Up,Labor > Carpentry > Install Crown Molding - Ground Up,linear ft,18.0,,20.75,4,10,no,2026,,"Per LINEAR FT. Compound-miter & cope crown, nail to plate, caulk; slower than base (~10min/LF), crown stock ~$4/LF. Handyman-legal.","Anchor 'Crown Moulding, Install/Replace' $180/90min/$30; Homewyse install crown molding $14.28-21.85/LF",high,
Carpentry,Carpentry > Install Door Casing - Ground Up - Exterior,Install Door Casing - Ground Up - Exterior,Labor > Carpentry > Install Door Casing - Ground Up - Exterior,linear ft,16.0,,18.5,4,9,no,2026,,"Per LINEAR FT. Miter & nail exterior door casing/brickmould, caulk & seal; ~9min/LF, PVC/wood casing ~$4/LF. Handyman-legal trim.","Anchor 'Door Casing, Install/Replace' $90/45min/$15; exterior casing weather-seal adds time",high,
Carpentry,Carpentry > Install Door Casing - Ground Up - Interior,Install Door Casing - Ground Up - Interior,Labor > Carpentry > Install Door Casing - Ground Up - Interior,linear ft,13.0,,15.0,3,7,no,2026,,"Per LINEAR FT. Miter & nail interior door casing, caulk; ~7min/LF, casing stock ~$3/LF. Handyman-legal trim.","Anchor 'Door Casing, Install/Replace' $90/45min/$15",high,
Carpentry,Carpentry > Install Hand Rails,Install Hand Rails,Labor > Carpentry > Install Hand Rails,linear ft,32,,43.25,8,20,no,2026,,"[PER-UNIT RATE, confirm] standard Brevard unit cost; Per LINEAR FT. Mount wall-return handrail with brackets into studs/blocking; ~20min/LF incl layout, rail+brackets ~$8/LF. Non-structural safety rail = handyman-legal.",Homewyse install stairway handrail $40.15-60.18/LF; anchor context Chair Rail/Crown trim rates,low,
Carpentry,Carpentry > Install Siding,Install Siding,Labor > Carpentry > Install Siding,each,35,25,45,4,8,no,2026,,"Per EACH (per SF basis). Hang vinyl/fiber-cement lap siding, flash & trim; ~8min/SF, mid-grade siding ~$4/SF. Non-structural cladding = handyman-legal. Engine treats unit=each.","Homewyse install vinyl siding $7.32-12.51/SF, labor $2.50-5/SF, material $3-7/SF",med,
