category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Plumbing,Plumbing > Bathroom > Toilet > Install Bidet - Ground Up,Bathroom - Toilet - Install Bidet - Ground Up,Labor > Plumbing > Bathroom > Toilet > Install Bidet - Ground Up,each,230,195,345,25,120,no,2026,"This may cross into permitted plumbing (valve body, moving a drain). We confirm on site and sub if a permit is needed.","Bidet seat on existing supply/toilet = handyman; standalone w/ new dedicated lines = licensed. Ground-up ambiguous, gray.",Angi bidet install $250-1000 (seat) plumber labor $150-600; HomeGuide standalone w/ lines $700-2600,med,VERIFY
Plumbing,Plumbing > Bathroom > Toilet > Install New Toilet - Ground Up,Bathroom - Toilet - Install New Toilet - Ground Up,Labor > Plumbing > Bathroom > Toilet > Install New Toilet - Ground Up,each,190,160,245,30,90,yes,2026,,Set new toilet on existing flange/supply = like-for-like handyman. Haul old unit.,Homewyse install toilet $635-1151 all-in; Angi toilet install w/ haul old,med,
Plumbing,Plumbing > Bathroom > Toilet > Repair Shutoff Valve / Angle Stop,Bathroom - Toilet - Repair Shutoff Valve / Angle Stop,Labor > Plumbing > Bathroom > Toilet > Repair Shutoff Valve / Angle Stop,each,90,65,105,10,45,no,2026,,Simple angle stop repair on existing supply = handyman-legal.,"Anchor Sink,Bathroom shutoff repair analog; Angi angle stop repair $75-150",high,
Plumbing,Plumbing > Bathroom > Toilet > Replace Bidet,Bathroom - Toilet - Replace Bidet,Labor > Plumbing > Bathroom > Toilet > Replace Bidet,each,145,125,220,15,75,no,2026,"This may cross into permitted plumbing (valve body, moving a drain). We confirm on site and sub if a permit is needed.",Bidet seat swap on existing = handyman; standalone unit = gray. Confirm type on site.,Angi bidet seat install $250-1000; labor $150-600,med,VERIFY
Plumbing,Plumbing > Bathroom > Toilet > Replace High Efficiency Flush Components,Bathroom - Toilet - Replace High Efficiency Flush Components,Labor > Plumbing > Bathroom > Toilet > Replace High Efficiency Flush Components,each,80,55,90,10,45,no,2026,,Internal flush kit (fill valve/flapper/HET dual-flush) swap = handyman-legal.,Anchor: Replace toilet fill valve (customer supplied) $80/45min; flapper $46/25min,high,
Plumbing,Plumbing > Bathroom > Toilet > Replace Mounting Flange,Bathroom - Toilet - Replace Mounting Flange,Labor > Plumbing > Bathroom > Toilet > Replace Mounting Flange,each,175,150,260,20,90,no,2026,"This may cross into permitted plumbing (valve body, moving a drain). We confirm on site and sub if a permit is needed.","Flange replace requires pulling toilet & working the drain connection; gray zone, confirm scope.",Angi toilet flange replace $145-300 avg $145-165,med,VERIFY
Plumbing,Plumbing > Bathroom > Toilet > Replace Shutoff Valve / Angle Stop,Bathroom - Toilet - Replace Shutoff Valve / Angle Stop,Labor > Plumbing > Bathroom > Toilet > Replace Shutoff Valve / Angle Stop,each,115,80,130,15,60,no,2026,,Angle stop swap on existing stub-out = handyman-legal.,"Anchor: Sink,Kitchen,Replace Shutoff Valve $115/60min",high,
Plumbing,Plumbing > Bathroom > Toilet > Replace Tank Seals,Bathroom - Toilet - Replace Tank Seals,Labor > Plumbing > Bathroom > Toilet > Replace Tank Seals,each,90,65,105,10,45,no,2026,,Tank-to-bowl gasket / spud washer / bolt seal swap = handyman-legal.,Angi tank-to-bowl / flush valve seal $75-150; internal parts only,high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Re-Caulk Tub / Shower,Bathroom - Tub / Shower - Re-Caulk Tub / Shower,Labor > Plumbing > Bathroom > Tub / Shower > Re-Caulk Tub / Shower,each,60,35,70,8,30,no,2026,,Cosmetic re-caulk = handyman-legal.,"Anchor: Sink,Bathroom,Caulk $58/30min",high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Repair Mixer Valve (Seals),Bathroom - Tub / Shower - Repair Mixer Valve (Seals),Labor > Plumbing > Bathroom > Tub / Shower > Repair Mixer Valve (Seals),each,145,100,165,15,75,no,2026,,"Reseal/rebuild existing mixer valve (seals only, no body replace) = handyman-legal cartridge-type repair.","HomeGuide shower cartridge replace $100-350, labor $85-265, 30-60min",high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Repair Shower Cartridge (Seals),Bathroom - Tub / Shower - Repair Shower Cartridge (Seals),Labor > Plumbing > Bathroom > Tub / Shower > Repair Shower Cartridge (Seals),each,120,85,140,15,60,no,2026,,Cartridge swap on existing valve = handyman-legal (explicitly allowed).,HomeGuide/Angi shower cartridge replace $100-350 incl labor; part $15-85,high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Repair Trip Lever Drain Assembly,Bathroom - Tub / Shower - Repair Trip Lever Drain Assembly,Labor > Plumbing > Bathroom > Tub / Shower > Repair Trip Lever Drain Assembly,each,95,65,125,15,45,no,2026,,Adjust/repair existing trip-lever linkage = handyman-legal.,Angi/HomeGuide tub drain $500-800 full; trip-lever linkage adjust/parts only here,med,
Plumbing,Plumbing > Bathroom > Tub / Shower > Repair Valve Stem Packings / Seals,Bathroom - Tub / Shower - Repair Valve Stem Packings / Seals,Labor > Plumbing > Bathroom > Tub / Shower > Repair Valve Stem Packings / Seals,each,110,75,145,10,60,no,2026,,Repack/reseal existing compression valve stems = handyman-legal.,Angi valve stem/packing repair; compression stem rebuild ~$100-200,med,
Plumbing,Plumbing > Bathroom > Tub / Shower > Replace Overflow Drain Cover,Bathroom - Tub / Shower - Replace Overflow Drain Cover,Labor > Plumbing > Bathroom > Tub / Shower > Replace Overflow Drain Cover,each,55,30,65,10,25,no,2026,,Overflow cover plate swap = handyman-legal cosmetic/trim.,HomeGuide overflow plate part $10-30; quick swap,high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Replace Overflow Drain Cover Seal,Bathroom - Tub / Shower - Replace Overflow Drain Cover Seal,Labor > Plumbing > Bathroom > Tub / Shower > Replace Overflow Drain Cover Seal,each,60,35,70,8,30,no,2026,,Overflow gasket swap = handyman-legal.,Overflow gasket part $5-15; access behind plate,high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Replace Shower / Tub Mixer Valve,Bathroom - Tub / Shower - Replace Shower / Tub Mixer Valve,Labor > Plumbing > Bathroom > Tub / Shower > Replace Shower / Tub Mixer Valve,each,325,275,490,60,150,no,2026,"This may cross into permitted plumbing (valve body, moving a drain). We confirm on site and sub if a permit is needed.",Replacing the valve BODY (not cartridge) = gray/behind-wall; may need permit if piping altered. VERIFY per spec.,"HomeGuide shower valve replace (body) w/ wall access, drywall cut $300-800+",med,VERIFY
Plumbing,Plumbing > Bathroom > Tub / Shower > Replace Shower Wand,Bathroom - Tub / Shower - Replace Shower Wand,Labor > Plumbing > Bathroom > Tub / Shower > Replace Shower Wand,each,60,35,70,15,25,no,2026,,Showerhead/wand swap = handyman-legal (explicitly allowed).,Handheld showerhead/wand swap on existing arm; part $20-60,high,
Plumbing,Plumbing > Bathroom > Tub / Shower > Replace Threaded Drain Assembly,Bathroom - Tub / Shower - Replace Threaded Drain Assembly,Labor > Plumbing > Bathroom > Tub / Shower > Replace Threaded Drain Assembly,each,130,90,170,25,60,no,2026,,Threaded tub drain/basket strainer swap into existing shoe = handyman-legal like-for-like.,"HomeGuide tub drain PVC kit $70-100, brass $150-250; threaded shoe/basket",med,
