New taxonomy item,Maps to your priced task,Your price,Match score
Labor > Appliances > Dishwasher > Replace Supply Line,"Refrigerator, Replace Supply Line",90.0,0.909
Labor > Appliances > Dryer > Dryer Vent - Full Cleaning To Exterior,"Dryer, Full Vent Cleaning To Exterior",135.0,0.989
Labor > Appliances > Dryer > Replace Dryer,"Dryer, Install Or Remove",85.0,0.851
Labor > Appliances > Dryer > Replace Exhaust Hose,"Dryer, Replace Exhaust Hose",65.0,0.925
Labor > Appliances > Dryer > Replace Gas Line,"Dryer, Replace Gas Line",155.0,0.923
Labor > Appliances > Dryer > Replace Gas Valve,"Dryer, Replace Gas Valve",125.0,0.923
Labor > Appliances > Dryer > Replace Motor,"Range Hood, Replace Fan Motor",155.0,0.811
Labor > Appliances > Full Range (Cooktop + Oven) > Install Anti-Tip Device,"Range/Oven, Install Anti-Tip Device",60.0,0.897
Labor > Appliances > Full Range (Cooktop + Oven) > Replace Electrical Cord,"Range/Oven, Replace Electrical Cord",90.0,0.88
Labor > Appliances > Full Range (Cooktop + Oven) > Replace Gas Line,"Dryer, Replace Gas Line",155.0,0.923
Labor > Appliances > Full Range (Cooktop + Oven) > Replace Gas Valve,"Dryer, Replace Gas Valve",125.0,0.923
Labor > Appliances > Microwave > Replace Door Handle,"Above Range Microwave, Replace Door/Handle",100.0,0.835
Labor > Appliances > Microwave > Replace Fan / Motor,"Range Hood, Replace Fan Motor",155.0,0.876
Labor > Appliances > Microwave > Replace Filter,"Refrigerator, Replace Water Filter",43.33,0.833
Labor > Appliances > Microwave > Replace Microwave,"Above Range Microwave,",165.0,0.833
Labor > Appliances > Range Hood > Replace Fan Motor,"Range Hood, Replace Fan Motor",155.0,0.876
Labor > Appliances > Range Hood > Replace Filter,"Refrigerator, Replace Water Filter",43.33,0.833
Labor > Appliances > Range Hood > Replace Range Hood,"Range Hood, Replace/Install New",225.0,0.965
Labor > Appliances > Refrigerator > Install New Refrigerator,"Refrigerator, Repair Appliance",145.0,0.861
Labor > Appliances > Refrigerator > Repair Ice Maker,"Refrigerator, Replace Ice Maker",150.0,0.889
Labor > Appliances > Refrigerator > Replace Ice Maker,"Refrigerator, Replace Ice Maker",150.0,0.907
Labor > Appliances > Refrigerator > Replace Shelves / Drawers,"Refrigerator, Replace Shelves/Drawers",65.0,0.912
Labor > Appliances > Refrigerator > Replace Supply Line,"Refrigerator, Replace Supply Line",90.0,0.909
Labor > Appliances > Refrigerator > Replace Water Filter,"Refrigerator, Replace Water Filter",43.33,0.91
Labor > Appliances > Standalone Cooktop > Replace Electrical Cord,"Range/Oven, Replace Electrical Cord",90.0,0.88
Labor > Appliances > Standalone Cooktop > Replace Gas Line,"Dryer, Replace Gas Line",155.0,0.923
Labor > Appliances > Standalone Cooktop > Replace Gas Valve,"Dryer, Replace Gas Valve",125.0,0.923
Labor > Appliances > Standalone Or Double Oven > Replace Electrical Cord,"Range/Oven, Replace Electrical Cord",90.0,0.88
Labor > Appliances > Standalone Or Double Oven > Replace Gas Line,"Dryer, Replace Gas Line",155.0,0.923
Labor > Appliances > Standalone Or Double Oven > Replace Gas Valve,"Dryer, Replace Gas Valve",125.0,0.923
Labor > Appliances > Trash Compactor > Replace Drawer,"Range/Oven, Repair/Replace Drawer Rails",95.0,0.803
Labor > Cabinets > Build New Drawer Box,"Cabinet Drawer, Build New Box",180.0,0.925
Labor > Cabinets > Repair Door,"Cabinet, Door, Replace",100.0,0.852
Labor > Cabinets > Repair Drawer Box,"Cabinet Drawer, Build New Box",180.0,0.841
