Task,Unit,Labor min,Material allowance $,Price (trip-excluded) $,Variable,Notes
Electrical > Bulbs > Specialty - Replace,each,10,0,17,,client supplies bulb
Electrical > Distribution > Install / Replace Weatherproof Gang Box,each,45,12,90,,
Electrical > Distribution > Install Ceiling Fan Rated Box,each,60,18,122,,
Electrical > Distribution > Replace / Install AFCI Breaker,each,45,45,131,,
Electrical > Distribution > Replace / Install Double Pole Breaker,each,40,25,98,,
Electrical > Distribution > Replace / Install GFCI Breaker,each,45,45,131,,
Electrical > Distribution > Replace / Install Gang Box,each,40,8,77,,
Electrical > Distribution > Replace / Install Junction Box,each,40,8,77,,
Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,each,35,15,77,,
Electrical > Distribution > Replace Fuse,each,15,5,31,,
Electrical > Distribution > Reset Breaker,each,10,0,17,,
Electrical > Distribution > Run New Conduit,linear ft,9,3,19,VARIABLE,price per linear ft; starts at
Electrical > Distribution > Run New Leg From Panel,linear ft,7,4,17,VARIABLE,"per lf + breaker/setup; starts at, quote on site"
Electrical > Distribution > Troubleshoot / Diagonose,each,45,0,75,,diagnostic
Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up,each,60,10,112,,client supplies unit
Electrical > Doorbells > Smart > Program Smart Doorbell,each,20,0,33,,
Electrical > Doorbells > Smart > Remove Smart Doorbell,each,15,0,25,,
Electrical > Doorbells > Smart > Replace Smart Doorbell,each,30,0,50,,
Electrical > Doorbells > Wired > Diagnose / Troubleshoot,each,40,0,67,,diagnostic
Electrical > Doorbells > Wired > Install New System - Ground Up,each,120,35,244,,transformer+button+chime
Electrical > Doorbells > Wired > Repair Chimes In Chime Box,each,40,10,79,,
Electrical > Doorbells > Wired > Repair Wiring - Chime Box,each,45,5,81,,
Electrical > Doorbells > Wired > Repair Wiring - Pushbutton,each,35,5,65,,
Electrical > Doorbells > Wired > Repair Wiring - Transformer,each,45,12,90,,
Electrical > Doorbells > Wired > Replace Pushbutton,each,25,12,57,,
Electrical > Doorbells > Wired > Run New Wiring,linear ft,4,1,8,VARIABLE,price per linear ft; starts at
Electrical > Doorbells > Wireless > Diagnose / Troubleshoot,each,25,0,42,,
Electrical > Doorbells > Wireless > Install New - Ground Up,each,30,0,50,,client supplies unit
Electrical > Doorbells > Wireless > Replace Chime Box Batteries,each,10,4,22,,
Electrical > Doorbells > Wireless > Replace Pushbutton Batteries,each,10,3,20,,
Electrical > Doorbells > Wireless > Replace Repeater Batteries,each,10,3,20,,
Electrical > Doorbells > Wireless > Replace Wireless Chime Box,each,15,0,25,,
Electrical > Doorbells > Wireless > Replace Wireless Pushbutton,each,15,0,25,,
Electrical > Doorbells > Wireless > Replace Wireless Repeater,each,15,0,25,,
Electrical > Doorbells > Wireless > Reprogram,each,20,0,33,,
Electrical > Doorbells > Wireless > Secure Chime Box,each,10,0,17,,
Electrical > Doorbells > Wireless > Secure Pushbutton,each,10,0,17,,
Electrical > Doorbells > Wireless > Secure Repeater,each,10,0,17,,
Electrical > Exhaust Fans > Install New - Ground Up,each,120,25,231,,new vent+wiring
Electrical > Exhaust Fans > Replace Bulb,each,10,0,17,,
Electrical > Exhaust Fans > Replace Cover,each,10,0,17,,
Electrical > Exhaust Fans > Replace Fan Wheel / Blade,each,30,15,69,,
Electrical > Lighting > Can / Recessed > Diagnose / Troubleshoot,each,35,0,58,,
Electrical > Lighting > Can / Recessed > Install New - Ground Up,each,60,25,131,,per light
Electrical > Lighting > Can / Recessed > Secure,each,15,0,25,,
Electrical > Lighting > Ceiling Fan > Balance,each,25,5,48,,
